stage,variable,bin_left,bin_right,center,category,N_gal_stage,N_gal_usable,N_gal_category_support,N_spaxel_usable,N_spaxel_category,f_gal_usable,occupancy,mean_intensity,typical_median_log_intensity,in_fixed_reliable_range
close-to-peak,log_sigma_star,9.25,9.5,9.375,NSF,5,1,1,6902,5965,0.2,0.8642422486235873,1.4313046165481296e+39,38.94722784830374,True
close-to-peak,log_sigma_star,9.25,9.5,9.375,ND,5,1,1,6902,884,0.2,0.12807881773399016,2.2716219705989474e+38,38.34625772620069,True
close-to-peak,log_sigma_star,9.5,9.75,9.625,SF,5,1,0,3104,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,NSF,5,1,1,3104,2774,0.2,0.8936855670103093,2.2097248736597365e+39,39.18829476048871,False
close-to-peak,log_sigma_star,9.5,9.75,9.625,ND,5,1,1,3104,330,0.2,0.10631443298969072,2.9577534550891017e+38,38.463542157869014,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,SF,5,1,0,1175,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,NSF,5,1,1,1175,1167,0.2,0.9931914893617021,3.8152388523465626e+39,39.533913260842134,False
close-to-peak,log_sigma_star,9.75,10.0,9.875,ND,5,1,0,1175,8,0.2,0.006808510638297872,,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,SF,5,1,0,420,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,NSF,5,1,1,420,420,0.2,1.0,8.110123055122874e+39,39.89128311514851,False
close-to-peak,log_sigma_star,10.0,10.25,10.125,ND,5,1,0,420,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,SF,5,1,0,119,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,NSF,5,1,1,119,119,0.2,1.0,1.5543417817993577e+40,40.15881808914775,False
close-to-peak,log_sigma_star,10.25,10.5,10.375,ND,5,1,0,119,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,SF,5,1,0,51,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,NSF,5,1,1,51,51,0.2,1.0,3.667811088544956e+40,40.54568439697392,False
close-to-peak,log_sigma_star,10.5,10.75,10.625,ND,5,1,0,51,0,0.2,0.0,,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,10.75,11.0,10.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,log_sigma_star,11.0,11.25,11.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,0.0,0.25,0.125,SF,5,5,5,29687,13882,1.0,0.5298090953708646,2.0898030910376249e+40,40.08654487206566,True
close-to-peak,radius_re,0.0,0.25,0.125,NSF,5,5,5,29687,14964,1.0,0.4513997081147794,6.472779915198545e+39,39.4914594663487,True
close-to-peak,radius_re,0.0,0.25,0.125,ND,5,5,1,29687,841,1.0,0.018791196514355936,2.649044049678294e+38,38.39220317616954,True
close-to-peak,radius_re,0.25,0.5,0.375,SF,5,5,5,88933,45293,1.0,0.4448531673058227,5.306889187686452e+39,39.412961022517656,True
close-to-peak,radius_re,0.25,0.5,0.375,NSF,5,5,5,88933,41867,1.0,0.5343207002084711,1.2607558805804732e+39,38.99113389718344,True
close-to-peak,radius_re,0.25,0.5,0.375,ND,5,5,2,88933,1773,1.0,0.020826132485706132,1.6032869992499482e+38,38.19456477440997,True
close-to-peak,radius_re,0.5,0.75,0.625,SF,5,5,5,148427,96170,1.0,0.4687551841198016,3.7780867352348733e+39,39.285913780665254,True
close-to-peak,radius_re,0.5,0.75,0.625,NSF,5,5,5,148427,49105,1.0,0.4732875902579236,7.821916932576396e+38,38.683981424792854,True
close-to-peak,radius_re,0.5,0.75,0.625,ND,5,5,3,148427,3152,1.0,0.05795722562227464,7.612329373988897e+37,37.88258984148995,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,5,5,4,207553,116723,1.0,0.39177351887927314,2.6793302499284007e+39,39.07810258186903,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,5,5,5,207553,75827,1.0,0.4339969594490004,4.632082861162507e+38,38.405178317054656,True
close-to-peak,radius_re,0.75,1.0,0.875,ND,5,5,5,207553,15003,1.0,0.17422952167172648,5.944685050894567e+37,37.69758505134314,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,5,5,4,264050,139039,1.0,0.36901817277274873,2.029576841564163e+39,38.842181578850386,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,5,5,5,264050,83706,1.0,0.3463797576138452,2.841235698376688e+38,38.14891275230556,True
close-to-peak,radius_re,1.0,1.25,1.125,ND,5,5,5,264050,41305,1.0,0.28460206961340606,4.0017946362041668e+37,37.61280500067305,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,5,5,3,296484,128899,1.0,0.30209463687896543,2.1021339894173638e+39,38.77193440222201,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,5,5,5,296484,89351,1.0,0.2686860743776148,1.932221049262093e+38,38.09116976834882,True
close-to-peak,radius_re,1.25,1.5,1.375,ND,5,5,5,296484,78234,1.0,0.42921928874341975,3.2340743196281433e+37,37.42992432408564,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,5,5,3,279961,100644,1.0,0.2409637919394489,1.465781269792e+39,38.79910462060503,True
close-to-peak,radius_re,1.5,1.75,1.625,NSF,5,5,5,279961,79097,1.0,0.17279658760094632,1.427529409628861e+38,37.72229088393609,True
close-to-peak,radius_re,1.5,1.75,1.625,ND,5,5,5,279961,100220,1.0,0.5862396204596048,2.753385724825993e+37,37.35947887311145,True
close-to-peak,radius_re,1.75,2.0,1.875,SF,5,5,3,194038,65825,1.0,0.17521095740772696,8.954907527212309e+38,38.517019493763776,True
close-to-peak,radius_re,1.75,2.0,1.875,NSF,5,5,5,194038,38396,1.0,0.09697304918352719,9.634759387189732e+37,37.54826399147966,True
close-to-peak,radius_re,1.75,2.0,1.875,ND,5,5,5,194038,89817,1.0,0.7278159934087458,2.0934951360178842e+37,37.2365142551264,True
close-to-peak,radius_re,2.0,2.25,2.125,SF,5,4,2,86603,12852,0.8,0.12464270282225223,8.587138748682523e+38,38.53753907763475,True
close-to-peak,radius_re,2.0,2.25,2.125,NSF,5,4,3,86603,12805,0.8,0.06490348474263305,1.5762533573181378e+38,38.153824465865966,True
close-to-peak,radius_re,2.0,2.25,2.125,ND,5,4,4,86603,60946,0.8,0.8104538124351147,1.8276729948451865e+37,37.13215960814358,True
close-to-peak,radius_re,2.25,2.5,2.375,SF,5,3,1,36430,1447,0.6,0.01566373309951396,3.8733415118345104e+38,38.43211175084582,True
close-to-peak,radius_re,2.25,2.5,2.375,NSF,5,3,2,36430,3521,0.6,0.042280461810014165,9.245181432258185e+37,37.78465563899472,True
close-to-peak,radius_re,2.25,2.5,2.375,ND,5,3,3,36430,31462,0.6,0.9420558050904719,1.5122630869721595e+37,37.10607567411322,True
close-to-peak,radius_re,2.5,2.75,2.625,SF,5,2,1,8718,68,0.4,0.007372072853425846,2.0255763090911387e+38,38.30654860890837,False
close-to-peak,radius_re,2.5,2.75,2.625,NSF,5,2,1,8718,226,0.4,0.024501300954032957,1.3909059129921224e+38,38.131062475146905,False
close-to-peak,radius_re,2.5,2.75,2.625,ND,5,2,2,8718,8424,0.4,0.9681266261925412,1.7971350808702818e+37,37.222955979120144,False
close-to-peak,radius_re,2.75,3.0,2.875,SF,5,2,0,2343,0,0.4,0.0,,,False
close-to-peak,radius_re,2.75,3.0,2.875,NSF,5,2,0,2343,0,0.4,0.0,,,False
close-to-peak,radius_re,2.75,3.0,2.875,ND,5,2,2,2343,2343,0.4,1.0,1.7370632578105241e+37,37.22578217979006,False
close-to-peak,radius_re,3.0,3.25,3.125,SF,5,1,0,537,0,0.2,0.0,,,False
close-to-peak,radius_re,3.0,3.25,3.125,NSF,5,1,0,537,0,0.2,0.0,,,False
close-to-peak,radius_re,3.0,3.25,3.125,ND,5,1,1,537,537,0.2,1.0,1.2766612426551075e+37,37.10607567411322,False
close-to-peak,radius_re,3.25,3.5,3.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.25,3.5,3.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.25,3.5,3.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.5,3.75,3.625,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.5,3.75,3.625,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.5,3.75,3.625,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.75,4.0,3.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.75,4.0,3.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,3.75,4.0,3.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.0,4.25,4.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.0,4.25,4.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.0,4.25,4.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.25,4.5,4.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.25,4.5,4.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.25,4.5,4.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.5,4.75,4.625,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.5,4.75,4.625,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.5,4.75,4.625,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.75,5.0,4.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.75,5.0,4.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,4.75,5.0,4.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.0,5.25,5.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.0,5.25,5.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.0,5.25,5.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.25,5.5,5.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.25,5.5,5.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.25,5.5,5.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.5,5.75,5.625,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.5,5.75,5.625,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.5,5.75,5.625,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.75,6.0,5.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.75,6.0,5.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,5.75,6.0,5.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.0,6.25,6.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.0,6.25,6.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.0,6.25,6.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.25,6.5,6.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.25,6.5,6.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.25,6.5,6.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.5,6.75,6.625,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.5,6.75,6.625,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.5,6.75,6.625,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.75,7.0,6.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.75,7.0,6.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,6.75,7.0,6.875,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.0,7.25,7.125,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.0,7.25,7.125,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.0,7.25,7.125,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.25,7.5,7.375,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.25,7.5,7.375,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.25,7.5,7.375,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.5,7.75,7.625,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.5,7.75,7.625,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.5,7.75,7.625,ND,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.75,8.0,7.875,SF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.75,8.0,7.875,NSF,5,0,0,0,0,0.0,,,,False
close-to-peak,radius_re,7.75,8.0,7.875,ND,5,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,5.75,6.0,5.875,SF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,5.75,6.0,5.875,NSF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,5.75,6.0,5.875,ND,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.0,6.25,6.125,SF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.0,6.25,6.125,NSF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.0,6.25,6.125,ND,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.25,6.5,6.375,SF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.25,6.5,6.375,NSF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.25,6.5,6.375,ND,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.5,6.75,6.625,SF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.5,6.75,6.625,NSF,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.5,6.75,6.625,ND,13,0,0,0,0,0.0,,,,False
post-peak,log_sigma_star,6.75,7.0,6.875,SF,13,1,0,116,0,0.07692307692307693,0.0,,,False
post-peak,log_sigma_star,6.75,7.0,6.875,NSF,13,1,0,116,0,0.07692307692307693,0.0,,,False
post-peak,log_sigma_star,6.75,7.0,6.875,ND,13,1,1,116,116,0.07692307692307693,1.0,1.375188011116249e+37,37.13836207751789,False
post-peak,log_sigma_star,7.0,7.25,7.125,SF,13,5,0,9341,0,0.38461538461538464,0.0,,,True
post-peak,log_sigma_star,7.0,7.25,7.125,NSF,13,5,2,9341,539,0.38461538461538464,0.10083562407379576,3.0495025183091605e+37,37.481782624330236,True
post-peak,log_sigma_star,7.0,7.25,7.125,ND,13,5,5,9341,8802,0.38461538461538464,0.8991643759262044,1.1356166216657852e+37,37.01221166300363,True
post-peak,log_sigma_star,7.25,7.5,7.375,SF,13,11,2,122258,2373,0.8461538461538461,0.01781270585742278,6.499078460315928e+38,38.49880316226809,True
post-peak,log_sigma_star,7.25,7.5,7.375,NSF,13,11,7,122258,7248,0.8461538461538461,0.06741264468085834,5.393160103733551e+37,37.53566546051059,True
post-peak,log_sigma_star,7.25,7.5,7.375,ND,13,11,11,122258,112637,0.8461538461538461,0.9147746494617188,1.4842578895652028e+37,37.080000186490324,True
post-peak,log_sigma_star,7.5,7.75,7.625,SF,13,13,5,447605,17977,1.0,0.04486457458347485,5.332452797880599e+38,38.50363245179648,True
