GALID,stage,variable,bin_left,bin_right,center,category,N_usable,N_category,eligible_usable,category_support,f_category,sum_lha_within_category,lha_mean_within_category,median_log_lha_within_category,N_bpt_common,bpt_common_support,sum_HA6562_within_category,mean_HA6562_within_category,sum_OIII5006_within_category,mean_OIII5006_within_category,sum_NII6583_within_category,mean_NII6583_within_category,sum_SII_SUM_within_category,mean_SII_SUM_within_category,sum_HB4861_within_category,mean_HB4861_within_category,N_log_OIII_Hb,median_log_OIII_Hb,N_log_NII_Ha,median_log_NII_Ha,N_log_SII_Ha,median_log_SII_Ha,N_log_OI_Ha,median_log_OI_Ha,N_sigma_Ha,median_sigma_Ha
NGC4298,close-to-peak,log_sigma_star,7.5,7.75,7.625,SF,62892,30689,True,True,0.48796349297207914,3.2992925009958606e+43,1.0750733164964192e+39,38.74453808278992,8189,True,1.5851842361380331e+43,1.9357482429332436e+39,1.0295309070052148e+42,1.257212000250598e+38,4.363552134357724e+42,5.328553100937506e+38,3.7990269996782255e+42,4.639183050040573e+38,5.54260222425885e+42,6.768350499766578e+38,8401,-0.6564775705337524,30689,-0.49443909525871277,28369,-0.49632567167282104,1482,-1.6021424531936646,30689,29.044816970825195
NGC4298,close-to-peak,log_sigma_star,7.5,7.75,7.625,NSF,62892,7731,True,True,0.12292501431024613,1.7332288526866193e+42,2.241920647635001e+38,38.23783571415994,1042,True,5.732595620848972e+41,5.501531305997094e+38,2.122942894717367e+41,2.037373219498433e+38,2.6460684680222856e+41,2.539413117103921e+38,2.709650093867784e+41,2.6004319518884685e+38,2.0044040632339037e+41,1.923612344754226e+38,1256,-0.06942275911569595,7531,-0.3135167360305786,4150,-0.2992122173309326,160,-0.8114534616470337,7731,33.25434875488281
NGC4298,close-to-peak,log_sigma_star,7.5,7.75,7.625,ND,62892,24472,True,True,0.38911149271767476,7.643991129322721e+41,3.12356616922308e+37,37.42530327440542,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,7.75,8.0,7.875,SF,72593,47274,True,True,0.6512198145826733,7.948603167623652e+43,1.681390017266077e+39,38.967765015038886,23243,True,5.714365751754713e+43,2.4585319243448404e+39,3.718372540070989e+42,1.5997816719317598e+38,1.6103146415652377e+43,6.928170380610239e+38,1.3472864854740402e+43,5.796525773239428e+38,1.998029983131016e+43,8.596265469737194e+38,23243,-0.6502436399459839,47274,-0.48833373188972473,46763,-0.5059671998023987,6747,-1.5608775615692139,47274,28.918638229370117
NGC4298,close-to-peak,log_sigma_star,7.75,8.0,7.875,NSF,72593,16690,True,True,0.22991197498381385,5.266567697376831e+42,3.1555228863851593e+38,38.36693740453359,4319,True,2.2358331231124335e+42,5.176737955805588e+38,7.336215391628124e+41,1.6985911997286696e+38,1.2004916023186687e+42,2.779559162580849e+38,1.0959036572768871e+42,2.5374013829055037e+38,7.818030252723163e+41,1.810148240963918e+38,4697,-0.11107108741998672,16690,-0.3087117671966553,13166,-0.3045691251754761,889,-1.0049456357955933,16690,33.247676849365234
NGC4298,close-to-peak,log_sigma_star,7.75,8.0,7.875,ND,72593,8629,True,True,0.11886821043351287,4.174341014127237e+41,4.837572156828412e+37,37.689357777947535,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,8.0,8.25,8.125,SF,43490,32884,True,True,0.75612784548172,9.20208633504402e+43,2.798347626518678e+39,39.211343466479796,25351,True,8.103548463126019e+43,3.19653996415369e+39,4.86633657393612e+42,1.9195836747805292e+38,2.2986790243266486e+43,9.067409665601548e+38,1.7654285919575464e+43,6.963940641227353e+38,2.8334125660484636e+43,1.1176728989185687e+39,25351,-0.6734221577644348,32884,-0.4978436231613159,32884,-0.5704875588417053,10962,-1.5712698698043823,32884,28.692380905151367
NGC4298,close-to-peak,log_sigma_star,8.0,8.25,8.125,NSF,43490,9942,True,True,0.22860427684525178,5.0968236027235365e+42,5.1265576370182424e+38,38.6037274116462,5921,True,3.5761681151027273e+42,6.039804281544887e+38,7.995404657333592e+41,1.3503470118786677e+38,1.9013100733597724e+42,3.2111300006076212e+38,1.626485231693116e+42,2.7469772533239587e+38,1.2515646021772898e+42,2.1137723394313287e+38,6063,-0.22394336760044098,9942,-0.2936168909072876,9548,-0.3270038366317749,923,-1.0221104621887207,9942,32.23160171508789
NGC4298,close-to-peak,log_sigma_star,8.0,8.25,8.125,ND,43490,664,True,True,0.015267877673028282,4.8374950844991325e+40,7.285384163402308e+37,37.86652092871984,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,8.25,8.5,8.375,SF,18714,14639,True,True,0.7822485839478466,6.083977890204614e+43,4.1560064828230166e+39,39.40247192559797,13552,True,5.817914228965031e+43,4.293029980050938e+39,3.601471514574943e+42,2.65752030296262e+38,1.6688267609667899e+43,1.2314247055540067e+39,1.2131196541350627e+43,8.951591308552706e+38,2.0342869322799703e+43,1.5010972050472037e+39,13552,-0.6537167429924011,14639,-0.49321526288986206,14639,-0.6040130853652954,7952,-1.5346318483352661,14639,28.712614059448242
NGC4298,close-to-peak,log_sigma_star,8.25,8.5,8.375,NSF,18714,4075,True,True,0.21775141605215348,4.3762852507998787e+42,1.0739350308711359e+39,38.902211365566366,3603,True,4.094891017766928e+42,1.1365226249700051e+39,9.173563195853673e+41,2.546090256967436e+38,2.249330829094964e+42,6.242938742977974e+38,1.7442404247596696e+42,4.841078059283013e+38,1.4344134702372295e+42,3.981164224915985e+38,3603,-0.26211974024772644,4075,-0.28528767824172974,4075,-0.36855825781822205,1734,-1.1194462776184082,4075,32.50950241088867
NGC4298,close-to-peak,log_sigma_star,8.25,8.5,8.375,ND,18714,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,8.5,8.75,8.625,SF,6293,4254,True,True,0.6759891943429207,1.9924133654345085e+43,4.683623332004016e+39,39.540341385985506,4166,True,1.9651167061196457e+43,4.717034820258391e+39,1.545598372120553e+42,3.710029697840982e+38,5.991720964898062e+42,1.4382431504796116e+39,4.2919669221287975e+42,1.0302368992147858e+39,6.871037433984765e+42,1.649312874216218e+39,4166,-0.5918653607368469,4254,-0.4806804358959198,4254,-0.6029027104377747,3072,-1.5167285203933716,4254,29.05211639404297
NGC4298,close-to-peak,log_sigma_star,8.5,8.75,8.625,NSF,6293,2039,True,True,0.3240108056570793,2.761065289239207e+42,1.354127164903976e+39,39.01524247700198,2020,True,2.7490519813205957e+42,1.3609168224359385e+39,5.972000685238698e+41,2.9564359827914346e+38,1.3890035024212032e+42,6.876254962481204e+38,1.0449325850880537e+42,5.1729335895448205e+38,9.618597886808883e+41,4.761682122182616e+38,2020,-0.2677324414253235,2039,-0.2995983064174652,2039,-0.4116952121257782,995,-1.1817015409469604,2039,34.202449798583984
NGC4298,close-to-peak,log_sigma_star,8.5,8.75,8.625,ND,6293,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,8.75,9.0,8.875,SF,2184,1072,True,True,0.4908424908424908,9.137466976963506e+42,8.52375650836148e+39,39.65256478785885,1072,True,9.137466976963506e+42,8.52375650836148e+39,9.266210453662754e+41,8.643853035133166e+38,2.9404755974288605e+42,2.7429809677508025e+39,2.1026705252196123e+42,1.9614463854660563e+39,3.1949185234138095e+42,2.980334443483031e+39,1072,-0.47873950004577637,1072,-0.43547874689102173,1072,-0.5553551316261292,976,-1.4812967777252197,1072,35.072723388671875
NGC4298,close-to-peak,log_sigma_star,8.75,9.0,8.875,NSF,2184,1112,True,True,0.5091575091575091,4.417798982338459e+42,3.9728408114554486e+39,39.28594323353951,1096,True,4.4070819878859854e+42,4.021060207925169e+39,7.448731346223047e+41,6.796287724656065e+38,1.9553818063388416e+42,1.7841074875354395e+39,1.4384054234162324e+42,1.3124137074965625e+39,1.54094722302287e+42,1.4059737436340053e+39,1106,-0.20934872329235077,1112,-0.25887802243232727,1102,-0.3926893174648285,843,-1.2191848754882812,1112,41.877498626708984
NGC4298,close-to-peak,log_sigma_star,8.75,9.0,8.875,ND,2184,0,True,False,0.0,0.0,,,0,False,0.0,,0.0,,0.0,,0.0,,0.0,,0,,0,,0,,0,,0,
NGC4298,close-to-peak,log_sigma_star,9.0,9.25,9.125,SF,395,130,True,True,0.3291139240506329,3.6749822033001526e+42,2.8269093871539635e+40,40.22154913465178,130,True,3.6749822033001526e+42,2.8269093871539635e+40,2.7899315520727743e+41,2.146101193902134e+39,1.1108641289569149e+42,8.545108684283961e+39,8.06153485565964e+41,6.201180658199723e+39,1.2849588123427091e+42,9.884298556482377e+39,130,-0.6352669596672058,130,-0.4866340756416321,130,-0.6179651021957397,130,-1.7117505073547363,130,41.962127685546875
