stage,variable,center,ratio,delta,lo,hi,n_target,n_pre
post-peak,log_sigma_star,7.875,[S II] / Halpha,0.04047138078270324,0.008316718011460012,0.07558062225647064,12,8
post-peak,log_sigma_star,8.125,[S II] / Halpha,0.028593866691925485,-0.011790794952877376,0.0697519783508281,13,8
post-peak,log_sigma_star,8.375,[S II] / Halpha,-0.0014104199158374575,-0.049157569651490575,0.04232602182470686,13,8
post-peak,log_sigma_star,8.625,[S II] / Halpha,0.04328070821519897,0.0029157384887582853,0.07405504947102515,13,6
post-peak,log_sigma_star,8.875,[S II] / Halpha,0.11192049902883733,0.04439459980389217,0.2200735475593487,12,6
post-peak,log_sigma_star,9.125,[S II] / Halpha,0.14205934889255373,0.06298907234783287,0.420672483529606,10,6
post-peak,log_sigma_star,9.375,[S II] / Halpha,0.577722188310977,0.5252648263680613,0.6073969367173038,9,6
close-to-peak,radius_re,0.125,[O III] / Hbeta,-0.2752848776653923,-0.5012944663091261,0.14966641045385615,5,8
close-to-peak,radius_re,0.375,[O III] / Hbeta,-0.05087653637886827,-0.13730951974039698,0.11041223947160006,5,8
close-to-peak,radius_re,0.625,[O III] / Hbeta,-0.0971202517937341,-0.14293230694072206,0.05621746176543297,5,8
close-to-peak,radius_re,0.875,[O III] / Hbeta,-0.050748209173130554,-0.0999239305217597,0.05872267445537062,5,8
close-to-peak,radius_re,1.125,[O III] / Hbeta,0.016178282891150073,-0.04917734564584549,0.10626388864668541,5,8
close-to-peak,radius_re,1.375,[O III] / Hbeta,0.1697437434698184,0.07600713560457792,0.2381144409764974,5,8
close-to-peak,radius_re,1.625,[O III] / Hbeta,0.05491930352879374,-0.011085586693374125,0.1549527051901353,4,6
close-to-peak,radius_re,1.875,[O III] / Hbeta,-0.0328636514339055,-0.12988539133127375,0.0965794497780692,3,4
close-to-peak,radius_re,2.125,[O III] / Hbeta,0.14091999208883135,-0.02905730953224861,0.24732990660325527,2,4
close-to-peak,radius_re,2.375,[O III] / Hbeta,0.03580329306163349,-0.05902763500731112,0.07549229960811488,1,2
post-peak,radius_re,0.125,[O III] / Hbeta,0.05330056396510521,-0.014990638113463886,0.4816235576284762,13,8
post-peak,radius_re,0.375,[O III] / Hbeta,0.10870394721336027,0.029901888572999556,0.26521232251190324,13,8
post-peak,radius_re,0.625,[O III] / Hbeta,0.08413856875780423,0.02170870040838566,0.22775824852669416,13,8
post-peak,radius_re,0.875,[O III] / Hbeta,0.10513789094636489,0.05709592690144518,0.19308546859169268,13,8
post-peak,radius_re,1.125,[O III] / Hbeta,0.11208583702389636,0.05007440951346695,0.20545725779629492,12,8
post-peak,radius_re,1.375,[O III] / Hbeta,0.24269301978102517,0.0856567464523559,0.38605193094377965,8,8
post-peak,radius_re,1.625,[O III] / Hbeta,0.32842201938712573,0.1105065305555928,0.49442119016413416,5,6
post-peak,radius_re,1.875,[O III] / Hbeta,0.2112928972764803,0.041467048405635865,0.34634749340724996,4,4
post-peak,radius_re,2.125,[O III] / Hbeta,0.11618653261756949,-0.02506918902491151,0.2794045497740214,3,4
post-peak,radius_re,2.375,[O III] / Hbeta,0.2649627499282293,0.170131821859286,0.31075769177094514,2,2
close-to-peak,radius_re,0.125,[N II] / Halpha,0.30177896531135034,0.040198468147312705,0.4230559356838779,5,8
close-to-peak,radius_re,0.375,[N II] / Halpha,0.39917167595019387,0.07903786913100191,0.47255975756708324,5,8
close-to-peak,radius_re,0.625,[N II] / Halpha,0.32102110639053516,0.03392361926335128,0.3910819951140169,5,8
close-to-peak,radius_re,0.875,[N II] / Halpha,0.21789109547996968,0.054481419556585996,0.29733692314687743,5,8
close-to-peak,radius_re,1.125,[N II] / Halpha,0.1678843349361306,0.06082953047846303,0.25001755901448264,5,8
close-to-peak,radius_re,1.375,[N II] / Halpha,0.11348111042536352,0.03978503901548977,0.19885212522716045,5,8
close-to-peak,radius_re,1.625,[N II] / Halpha,0.16722847575979705,0.08738845604433891,0.24172112575211854,4,6
close-to-peak,radius_re,1.875,[N II] / Halpha,0.0917125857024998,-0.03817741816637721,0.22092569788729577,3,4
close-to-peak,radius_re,2.125,[N II] / Halpha,0.057320657337387226,-0.07444968903691773,0.1828230883862858,2,4
close-to-peak,radius_re,2.375,[N II] / Halpha,0.207810144165537,0.16434841869262584,0.359026365648603,1,2
post-peak,radius_re,0.125,[N II] / Halpha,0.6001829734899543,0.35533603944265224,0.6698473963675133,13,8
post-peak,radius_re,0.375,[N II] / Halpha,0.5259066276569111,0.20448137306471523,0.587848546752707,13,8
post-peak,radius_re,0.625,[N II] / Halpha,0.4281334396286808,0.14341115494988088,0.502531093809792,13,8
post-peak,radius_re,0.875,[N II] / Halpha,0.32422799971440686,0.1661981464667454,0.40836636740876997,13,8
post-peak,radius_re,1.125,[N II] / Halpha,0.2583078026090426,0.1589994174416546,0.35204921376304976,12,8
post-peak,radius_re,1.375,[N II] / Halpha,0.2712804920848343,0.20249780093884653,0.34372275005220077,8,8
post-peak,radius_re,1.625,[N II] / Halpha,0.31597937286524636,0.23756217933980195,0.3935640206391764,5,6
post-peak,radius_re,1.875,[N II] / Halpha,0.34991991408902934,0.24755609656045352,0.46609256952055317,4,4
post-peak,radius_re,2.125,[N II] / Halpha,0.28922421314284175,0.22465982681320185,0.4333853938745378,3,4
post-peak,radius_re,2.375,[N II] / Halpha,0.4381580272945485,0.38598144245769106,0.5888281356819292,2,2
close-to-peak,radius_re,0.125,[S II] / Halpha,0.2597506078275003,0.15865664874176447,0.34278301977049297,5,8
close-to-peak,radius_re,0.375,[S II] / Halpha,0.26546026477665086,0.1774509265535957,0.29950406679790403,5,8
close-to-peak,radius_re,0.625,[S II] / Halpha,0.12826014431811533,0.027173950286423602,0.20302709979628358,5,8
close-to-peak,radius_re,0.875,[S II] / Halpha,0.048581618863179576,-0.00894158729349044,0.13849318305661767,5,8
close-to-peak,radius_re,1.125,[S II] / Halpha,0.06521671275065627,0.014318187873463731,0.13738270425114563,5,8
close-to-peak,radius_re,1.375,[S II] / Halpha,0.07653521164511101,0.03431785779305301,0.147491125705761,5,8
close-to-peak,radius_re,1.625,[S II] / Halpha,0.07306491833568085,0.02303842799114051,0.1309232396959095,4,6
close-to-peak,radius_re,1.875,[S II] / Halpha,0.028641604371970553,-0.007822502847926955,0.08170146235880082,3,4
close-to-peak,radius_re,2.125,[S II] / Halpha,0.08456343469007305,0.029738386839994746,0.11242063107845013,2,4
close-to-peak,radius_re,2.375,[S II] / Halpha,0.0022468194597623503,-0.08772455873881313,0.039592700376140044,1,2
post-peak,radius_re,0.125,[S II] / Halpha,0.4783200341300988,0.3780287175748057,0.5671794127331466,13,8
post-peak,radius_re,0.375,[S II] / Halpha,0.29782958831578443,0.19076845922982216,0.3287343405580259,13,8
post-peak,radius_re,0.625,[S II] / Halpha,0.18424000268061258,0.07532710758667832,0.2196199910803759,13,8
post-peak,radius_re,0.875,[S II] / Halpha,0.08587622470942985,0.043509582771183095,0.11033687400549468,13,8
post-peak,radius_re,1.125,[S II] / Halpha,0.03903908466531736,-0.003880011719718936,0.08152289246807612,12,8
post-peak,radius_re,1.375,[S II] / Halpha,0.0900062735890736,0.0548703169163511,0.12077532538943841,8,8
post-peak,radius_re,1.625,[S II] / Halpha,0.059184797347981266,-0.005028499758353178,0.09674650560643983,5,6
post-peak,radius_re,1.875,[S II] / Halpha,0.04153293980614148,-0.03751910304684003,0.094624425655023,4,4
post-peak,radius_re,2.125,[S II] / Halpha,0.013306778933472097,-0.1303089159906358,0.18193342123210243,3,4
post-peak,radius_re,2.375,[S II] / Halpha,0.2157620659822106,0.12579068778363478,0.25310794689858795,2,2
