zone,time_Myr,D,median_A,SF,NSF,ND,I_SF,I_NSF,A_det,A_SF
inner,0.0,0.18,0.4,0.5369908596636024,0.46300914033639756,0.0,1.0642027781919043,0.39433716963606663,0.0,0.36964285714285716
inner,2.5,0.17925156033211978,0.3966805170555504,0.5350432374294802,0.46495676257051977,0.0,1.0579713308928642,0.3924583617487155,0.0,0.3681058828248889
inner,5.0,0.17850623267499766,0.39338858152864703,0.5330947753078583,0.46690522469214163,0.0,1.0517817878510192,0.39058792319642954,0.0,0.3665752992432988
inner,7.5,0.17776400408889864,0.39012396481133305,0.5311455197761044,0.4688544802238957,0.0,1.0456338293323026,0.3887258186073623,0.0,0.36505107982541685
inner,10.0,0.17702486168789114,0.3868864401928024,0.5291955173686477,0.47080448263135233,0.0,1.0395271382669622,0.3868720127598795,0.0,0.36353319810906215
inner,12.5,0.17628879263962322,0.3836757828436553,0.5272448146736486,0.4727551853263514,0.0,1.033461400226409,0.3850264705819131,0.0,0.3620216277420834
inner,15.0,0.17555578416509987,0.38049176980028565,0.5252934583296585,0.47470654167034154,0.0,1.0274363034002723,0.38318915715031887,0.0,0.36051634248190156
inner,17.5,0.1748258235384611,0.3773341799493969,0.5233414950222746,0.4766585049777254,0.0,1.021451538573648,0.3813600376902368,0.0,0.35901731619505406
inner,20.0,0.17409889808676104,0.3742027940126471,0.5213889714807891,0.47861102851921083,0.0,1.0155067991045525,0.37953907757445376,0.0,0.35752452285674147
inner,22.5,0.17337499518974792,0.37109739453142115,0.5194359344748342,0.48056406552516584,0.0,1.0096017809015607,0.3777262423227677,0.0,0.35603793655037524
inner,25.0,0.17265410227964487,0.36801776585172935,0.5174824308110195,0.4825175691889804,0.0,1.0037361824016517,0.37592149760135596,0.0,0.3545575314671279
inner,27.5,0.17193620684093192,0.36496369410923113,0.5155285073295688,0.48447149267043116,0.0,0.9979097045482339,0.37412480922214614,0.0,0.3530832819054852
inner,30.0,0.1712212964101285,0.36193496721438384,0.5135742109009492,0.48642578909905076,0.0,0.9921220507693698,0.3723361431421871,0.0,0.35161516227079964
inner,32.5,0.1705093585755773,0.35893137483771365,0.5116195884224986,0.4883804115775014,0.0,0.9863729269561881,0.370555465463026,0.0,0.3501531470748463
inner,35.0,0.16980038097722858,0.35595270839520954,0.5096646868150501,0.49033531318494994,0.0,0.9806620414414797,0.36878274243008446,0.0,0.34869721093538014
inner,37.5,0.16909435130642564,0.3529987610338382,0.5077095530195521,0.49229044698044794,0.0,0.9749891049784851,0.36701794043203984,0.0,0.3472473285756955
inner,40.0,0.16839125730569118,0.350069327617179,0.505754233993688,0.49424576600631204,0.0,0.9693538307198631,0.3652610260002075,0.0,0.3458034748241873
inner,42.5,0.1676910867685145,0.3471642047111786,0.5037987767084917,0.49620122329150834,0.0,0.963755934196844,0.363511965807926,0.0,0.3443656246139137
inner,45.0,0.1669938275391395,0.34428319057002316,0.501843228144963,0.49815677185503704,0.0,0.9581951332985628,0.3617707266699444,0.0,0.3429337529821615
inner,47.5,0.16629946751235375,0.34142608512212846,0.4998876352906818,0.5001123647093182,0.0,0.9526711482515735,0.360037275541813,0.0,0.3415078350700122
inner,50.0,0.1656079946332782,0.3385926899562457,0.49793204513642053,0.5020679548635795,0.0,0.9471837015995432,0.35831157951927484,0.0,0.3400878461219106
inner,52.5,0.16491939689715798,0.335782808307683,0.49597650467275733,0.5040234953272427,0.0,0.941732518183119,0.35659360583766175,0.0,0.33867376148523515
inner,55.0,0.164233662349154,0.3329962450446411,0.49402106088668774,0.5059789391133123,0.0,0.9363173251199763,0.35488332187129057,0.0,0.3372655566098699
