stage,variable,bin_left,bin_right,center,N_gal_stage,N_gal_usable,N_gal_any_SF,N_gal_SF_support,N_spaxel_usable,N_spaxel_SF,f_gal_usable,f_gal_SF_support,occupancy,total_hii,survivor_intensity,in_fixed_reliable_range
close-to-peak,radius_re,6.25,6.5,6.375,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,6.5,6.75,6.625,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,6.75,7.0,6.875,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,7.0,7.25,7.125,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,7.25,7.5,7.375,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,7.5,7.75,7.625,5,0,0,0,0,0,0.0,0.0,,,,False
close-to-peak,radius_re,7.75,8.0,7.875,5,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,5.75,6.0,5.875,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,6.0,6.25,6.125,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,6.25,6.5,6.375,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,6.5,6.75,6.625,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,6.75,7.0,6.875,13,1,0,0,116,0,0.07692307692307693,0.0,0.0,0.0,,False
post-peak,log_sigma_star,7.0,7.25,7.125,13,5,0,0,9341,0,0.38461538461538464,0.0,0.0,0.0,,True
post-peak,log_sigma_star,7.25,7.5,7.375,13,11,2,2,122258,2373,0.8461538461538461,0.15384615384615385,0.01781270585742278,4.425486648847687e-05,0.002484455020068459,True
post-peak,log_sigma_star,7.5,7.75,7.625,13,13,6,5,447605,17977,1.0,0.38461538461538464,0.04486457458347485,0.00014768723836645775,0.0032918452863443842,True
post-peak,log_sigma_star,7.75,8.0,7.875,13,13,9,8,840619,50895,1.0,0.6153846153846154,0.0539744634558092,0.0002126608165961801,0.003940026504761701,True
post-peak,log_sigma_star,8.0,8.25,8.125,13,13,13,12,659916,53966,1.0,0.9230769230769231,0.09251286287637146,0.0010737341506292224,0.011606322810095016,True
post-peak,log_sigma_star,8.25,8.5,8.375,13,13,13,13,389692,57612,1.0,1.0,0.2327160202194418,0.0049700789747564485,0.021356840711137397,True
post-peak,log_sigma_star,8.5,8.75,8.625,13,13,12,12,200243,31563,1.0,0.9230769230769231,0.3114482891756395,0.011093534836965905,0.035619186948590904,True
post-peak,log_sigma_star,8.75,9.0,8.875,13,13,10,10,90178,7066,1.0,0.7692307692307693,0.3056073920188369,0.023683799828354703,0.07749747043715124,True
post-peak,log_sigma_star,9.0,9.25,9.125,13,12,9,7,38872,888,0.9230769230769231,0.5384615384615384,0.23394476798681854,0.028830914039766172,0.12323812277516132,True
post-peak,log_sigma_star,9.25,9.5,9.375,13,9,2,0,16317,17,0.6923076923076923,0.0,0.0010748123300201513,0.00022399361894101584,0.2084025393873331,True
post-peak,log_sigma_star,9.5,9.75,9.625,13,8,0,0,5858,0,0.6153846153846154,0.0,0.0,0.0,,False
post-peak,log_sigma_star,9.75,10.0,9.875,13,7,0,0,2435,0,0.5384615384615384,0.0,0.0,0.0,,False
post-peak,log_sigma_star,10.0,10.25,10.125,13,6,0,0,985,0,0.46153846153846156,0.0,0.0,0.0,,False
post-peak,log_sigma_star,10.25,10.5,10.375,13,4,0,0,351,0,0.3076923076923077,0.0,0.0,0.0,,False
post-peak,log_sigma_star,10.5,10.75,10.625,13,1,0,0,56,0,0.07692307692307693,0.0,0.0,0.0,,False
post-peak,log_sigma_star,10.75,11.0,10.875,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,log_sigma_star,11.0,11.25,11.125,13,0,0,0,0,0,0.0,0.0,,,,False
post-peak,radius_re,0.0,0.25,0.125,13,13,7,7,73153,8736,1.0,0.5384615384615384,0.2470915626590868,0.015855425929532724,0.06416822071504125,True
post-peak,radius_re,0.25,0.5,0.375,13,13,10,10,219645,32345,1.0,0.7692307692307693,0.24813604618622526,0.006269189960355311,0.02526513199799398,True
post-peak,radius_re,0.5,0.75,0.625,13,13,10,10,365132,57932,1.0,0.7692307692307693,0.24427930115928775,0.0059096289721489205,0.024192098733307802,True
post-peak,radius_re,0.75,1.0,0.875,13,13,9,9,459799,52622,1.0,0.6923076923076923,0.14575409777033962,0.0029085165096903124,0.019954955326698085,True
post-peak,radius_re,1.0,1.25,1.125,13,13,8,8,497062,39586,1.0,0.6153846153846154,0.07019844247771571,0.0006356775795330882,0.009055437088007788,True
post-peak,radius_re,1.25,1.5,1.375,13,13,7,7,430527,13518,1.0,0.5384615384615384,0.04562681614419771,0.0007506094003969267,0.016451058036237327,True
post-peak,radius_re,1.5,1.75,1.625,13,12,5,5,284772,12062,0.9230769230769231,0.38461538461538464,0.026828953283394078,0.00039089542185388667,0.014569909519945135,True
post-peak,radius_re,1.75,2.0,1.875,13,10,5,5,183035,4103,0.7692307692307693,0.38461538461538464,0.0163422633031721,9.947266015510529e-05,0.006086834994011951,True
post-peak,radius_re,2.0,2.25,2.125,13,7,3,3,98674,1027,0.5384615384615384,0.23076923076923078,0.005653654000942359,2.7219318465148256e-05,0.004814464850627807,True
post-peak,radius_re,2.25,2.5,2.375,13,5,1,1,55705,496,0.38461538461538464,0.07692307692307693,0.011995163240628779,1.2410047358603402e-05,0.0010345876174964732,True
post-peak,radius_re,2.5,2.75,2.625,13,3,0,0,45719,0,0.23076923076923078,0.0,0.0,0.0,,False
post-peak,radius_re,2.75,3.0,2.875,13,2,0,0,38751,0,0.15384615384615385,0.0,0.0,0.0,,False
post-peak,radius_re,3.0,3.25,3.125,13,2,0,0,33496,0,0.15384615384615385,0.0,0.0,0.0,,False
post-peak,radius_re,3.25,3.5,3.375,13,2,0,0,23204,0,0.15384615384615385,0.0,0.0,0.0,,False
post-peak,radius_re,3.5,3.75,3.625,13,2,0,0,10384,0,0.15384615384615385,0.0,0.0,0.0,,False
post-peak,radius_re,3.75,4.0,3.875,13,2,0,0,3376,0,0.15384615384615385,0.0,0.0,0.0,,False
post-peak,radius_re,4.0,4.25,4.125,13,1,0,0,1290,0,0.07692307692307693,0.0,0.0,0.0,,False
post-peak,radius_re,4.25,4.5,4.375,13,1,0,0,1305,0,0.07692307692307693,0.0,0.0,0.0,,False
