zeta_external_pressure,Q_P_over_Q_g
0.01,0.9950371902099893
0.010312831606721848,0.9948831274420326
0.010635449574860113,0.9947243200341034
0.01096816005273138,0.9945606242567099
0.011311278765939214,0.9943918921764934
0.011665131316981962,0.9942179715427231
0.012030053494233242,0.9940387056713292
0.012406391590588319,0.993853933326463
0.012794502732078734,0.9936634885995717
0.01319475521676706,0.9934672007859847
0.013607528864243332,0.993264894259005
0.014033215376054847,0.993056388341513
0.014472218707411343,0.992841497175082
0.014924955450518291,0.9926200295866225
0.015391855229902053,0.9923917889525677
0.015873361110102097,0.9921565730606233
0.016369930016117026,0.991914173969108
0.016882033167003634,0.9916643778639209
0.017410156523040163,0.9914069649131751
0.017954801246878312,0.9911417091195469
0.01851648417912155,0.9908683781703936
0.019095738328780976,0.9905867332857131
0.01969311337907423,0.9902965290640061
0.020309176209047358,0.9899975133261378
0.020944511431514698,0.9896894269572808
0.021599721947827184,0.9893720037470528
0.022275429519995574,0.9890449702279582
0.022972275360711523,0.9887080455122648
0.023690920741826334,0.988360941127456
0.02443204762186488,0.9880033608504127
0.02519635929317015,0.9876350005404929
0.025984581049292486,0.9872555479716948
0.02679746087325691,0.9868646826641025
0.02763577014736159,0.9864620757148306
0.028500304385181068,0.9860473896287041
0.02939188398646886,0.9856202781489253
0.030311355015675792,0.9851803860880028
0.03125959000482281,0.9847273491592325
0.032237488781490305,0.9842607938090496
0.03324597932270942,0.983780337050586
0.034286018635565865,0.9832855862987947
0.035358593665351795,0.9827761392075282
0.03646472223212749,0.9822515835089766
0.03760545399658172,0.9817114968559092
0.03878187145610724,0.9811554466671777
0.039995090972036657,0.9805829899769772
0.04124626382901352,0.9799936732883885
0.04253657732750387,0.9793870324317487
0.04386725591048499,0.9787625924284423
0.04523956232538053,0.9781198673607204
0.04665479882234473,0.9774583602482044
0.0481143083900326,0.9767775629317529
0.04961947603002903,0.9760769559654116
0.051171730071146046,0.9753560085171994
0.052772543524835375,0.97461417827952
0.054423435483002665,0.9738509113900246
0.056125972559549715,0.9730656423637881
0.05788177037701274,0.9722577940377017
0.05969249509970733,0.9714267775280141
0.061559865014835076,0.9705719922020021
0.06348565216305217,0.9696928256647802
0.06547168402004737,0.9687886537622987
0.06751984523072502,0.9678588406016154
0.06963207939763882,0.9669027385895664
0.07181039092537349,0.965919688490988
0.07405684692262435,0.9649090195076814
0.0763735791637802,0.9638700493793453
0.07876278611187056,0.9628020845077242
0.08122673500479712,0.9617044201052569
0.08376776400682916,0.960576340369529
0.08638828442740444,0.9594171186848618
0.08909078300934138,0.9582260178523825
0.09187782428863335,0.9570022903499456
0.09475205302806543,0.9557451786232778
0.09771619672696176,0.9544539154097358
0.10077306820944612,0.9531277240960591
0.10392556829367126,0.9517658191115075
0.10717668854455029,0.950367406357755
0.11052951411260215,0.948931683676901
0.1139872266616052,0.9474578413589391
0.11755310738783693,0.9459450626899869
0.12123054013376522,0.944392524542554
0.12502301459914553,0.9427993980090639
0.1289341296525715,0.9411648490798044
0.1329675967466212,0.9394880393664061
