eta_kappaH_over_cR,x_critical,Q_critical
0.0,1.0,1.0
0.008032128514056224,0.9921251302167557,0.9920631195497056
0.01606425702811245,0.9845495399285094,0.9843108666150296
0.024096385542168672,0.9772521801712758,0.9767349222926998
0.0321285140562249,0.9702141489535635,0.9693275601226361
0.040160642570281124,0.9634184073226755,0.9620815872191181
0.048192771084337345,0.9568495411116283,0.9549902929240943
0.056224899598393566,0.9504935597830926,0.9480474038130469
0.0642570281124498,0.9443377256183372,0.9412470440967506
0.07228915662650602,0.9383704078958499,0.9345837006310267
0.08032128514056225,0.9325809577793058,0.9280521918814546
0.08835341365461846,0.9269596004690975,0.9216476402985351
0.09638554216867469,0.9214973418257276,0.915365447646742
0.10441767068273092,0.9161858871823343,0.9092012729026442
0.11244979919678713,0.9110175704886282,0.9031510123961363
0.12048192771084336,0.9059852922304469,0.8972107819173855
0.1285140562248996,0.9010824648562935,0.8913769005524098
0.1365461847389558,0.8963029646401499,0.8856458760437934
0.14457831325301204,0.8916410890886175,0.8800143915012081
0.15261044176706826,0.8870915191409495,0.8744792933101032
0.1606425702811245,0.8826492855271322,0.8690375801069503
0.1686746987951807,0.8783097387454147,0.8636863927064385
0.17670682730923692,0.8740685222005782,0.8584230048804917
0.18473895582329317,0.8699215481108235,0.8532448149013682
0.19277108433734938,0.865864975846904,0.848149337771739
0.2008032128514056,0.8618951924139757,0.843134198073789
0.20883534136546184,0.8580087948261579,0.8381971233772945
0.21686746987951805,0.8542025741572585,0.8333359381534869
0.22489959839357426,0.8504735010795433,0.8285485581474643
0.2329317269076305,0.8468187127266638,0.8238329851671069
0.24096385542168672,0.8432355007375766,0.8191873022509827
0.24899598393574296,0.8397213003560682,0.814609669181717
0.2570281124497992,0.8362736804757844,0.810098318314772
0.2650602409638554,0.8328903345338629,0.8056515506956785
0.2730923694779116,0.8295690721676763,0.8012677324414564
0.28112449799196787,0.8263078115590982,0.796945291364374
0.2891566265060241,0.823104572399306,0.7926827138183132
0.2971887550200803,0.8199574694146481,0.788478541749907
0.3052208835341365,0.8168647064006506,0.784331369938288
0.3132530120481927,0.8138245707169884,0.7802398434087964
0.321285140562249,0.8108354282012821,0.7762026550073231
0.3293172690763052,0.807895718464015,0.7722185431231791
0.3373493975903614,0.8050039505307732,0.7682862895494407
0.34538152610441764,0.8021586988014607,0.7644047174706985
0.35341365461847385,0.7993585992991967,0.7605726895690031
0.36144578313253006,0.7966023461843055,0.7567891062395756
0.36947791164658633,0.7938886885112165,0.7530529039085727
0.37751004016064255,0.7912164272082294,0.7493630534458193
0.38554216867469876,0.7885844122620025,0.7457185586660067
0.393574297188755,0.7859915400903289,0.7421184549123806
0.4016064257028112,0.7834367510872813,0.73856180771741
0.40963855421686746,0.7809190273331713,0.7350477115353663
0.41767068273092367,0.7784373904417458,0.7315752885421346
0.4257028112449799,0.7759908995543756,0.728143687497932
0.4337349397590361,0.7735786494545244,0.7247520826689422
0.4417670682730923,0.771199768799901,0.7213996728041643
0.4497991967871485,0.7688534184629553,0.7180856801640568
0.4578313253012048,0.7665387899715125,0.7148093495977971
