time_Myr,case1_gas_ratio,case1_SFR_ratio,case2_gas_ratio,case2_SFR_ratio,case3_gas_ratio,case3_SFR_ratio
0.0,1.0,2.0,1.0,2.0,1.0,1.1
0.5,0.9998500224977502,1.9997000449955005,0.9988507471761885,1.997701494352377,0.9979871796642252,1.0977858976306478
1.0,0.9997000899820028,1.9994001799640055,0.99770298741035,1.9954059748207,0.995978712370609,1.0955765836076699
1.5,0.9995502024392637,1.9991004048785275,0.9965567187627704,1.9931134375255408,0.9939745887050094,1.0933720475755104
2.0,0.9994003598560433,1.9988007197120865,0.9954119392962553,1.9908238785925105,0.9919747992736444,1.091172279201009
2.5,0.9992505622188554,1.9985011244377109,0.9942686470761268,1.9885372941522537,0.9899793347030472,1.088977268173352
3.0,0.9991008095142186,1.9982016190284373,0.9931268401702211,1.9862536803404423,0.9879881856400228,1.086787004204025
3.5,0.998951101728655,1.99790220345731,0.9919865166488842,1.9839730332977683,0.9860013427516037,1.084601477026764
4.0,0.9988014388486909,1.9976028776973818,0.990847674584969,1.981695349169938,0.9840187967250068,1.0824206763975075
4.5,0.9986518208608566,1.9973036417217132,0.9897103120538324,1.9794206241076648,0.9820405382675892,1.0802445920943482
5.0,0.9985022477516865,1.997004495503373,0.9885744271333312,1.9771488542666624,0.9800665581068047,1.0780732139174851
5.5,0.9983527195077191,1.9967054390154382,0.9874400179038196,1.9748800358076393,0.9780968469901603,1.0759065316891765
6.0,0.9982032361154967,1.9964064722309933,0.9863070824481461,1.9726141648962923,0.9761313956851736,1.073744535253691
6.5,0.998053797561566,1.996107595123132,0.985175618851649,1.970351237703298,0.9741701949793282,1.0715872144772611
7.0,0.9979044038324772,1.9958088076649545,0.9840456252021548,1.9680912504043095,0.9722132356800318,1.069434559248035
7.5,0.9977550549147853,1.9955101098295707,0.9829170995899739,1.9658341991799477,0.9702605086145721,1.0672865594760295
8.0,0.9976057507950487,1.9952115015900973,0.9817900401078978,1.9635800802157957,0.9683120046300744,1.0651432050930818
8.5,0.9974564914598298,1.9949129829196597,0.9806644448511956,1.9613288897023913,0.9663677145934587,1.0630044860528047
9.0,0.9973072768956956,1.9946145537913913,0.9795403119176114,1.9590806238352227,0.9644276293913963,1.060870392330536
9.5,0.9971581070892166,1.9943162141784332,0.9784176394073598,1.9568352788147196,0.962491739930268,1.0587409139232948
10.0,0.9970089820269676,1.9940179640539353,0.9772964254231244,1.954592850846249,0.9605600371361207,1.056616040849733
10.5,0.9968599016955273,1.9937198033910546,0.976176668070053,1.952353336140106,0.9586325119546253,1.054495763150088
11.0,0.9967108660814785,1.993421732162957,0.9750583654557554,1.9501167309115108,0.956709155351034,1.0523800708861375
11.5,0.996561875171408,1.993123750342816,0.9739415156903002,1.9478830313806004,0.954789958310138,1.0502689541411518
12.0,0.9964129289519067,1.9928258579038134,0.9728261168862109,1.9456522337724218,0.9528749118362256,1.0481624030198482
