time_Myr,ram_pulse_P_over_k,zone1_gas_ratio,zone1_efficiency_ratio,zone1_SFR_ratio,zone1_midplane_pressure_ratio,zone1_support_ratio,zone1_tracer_5Myr_ratio,zone1_tracer_100Myr_ratio,zone1_locked_and_outflow_initial_gas_units,zone1_stripped_initial_gas_units,zone2_gas_ratio,zone2_efficiency_ratio,zone2_SFR_ratio,zone2_midplane_pressure_ratio,zone2_support_ratio,zone2_tracer_5Myr_ratio,zone2_tracer_100Myr_ratio,zone2_locked_and_outflow_initial_gas_units,zone2_stripped_initial_gas_units
-400.0,0.4471983806494405,1.0,1.0,1.0,1.0000067597054962,1.000000465831538,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0000021162124006,1.00000186332485,1.0,1.0,0.0,0.0
-399.75,0.4542385124614444,0.9999999973154845,1.0000000485316693,1.0000000458471536,1.000006863224222,1.0000004731650052,1.000000001127759,1.000000000057285,7.500000171997928e-05,2.6827955309375948e-09,0.999999994132108,0.999999986559955,0.9999999806920632,1.0000021431936839,1.0000018926586776,0.9999999995257819,0.9999999999759123,7.499999927676654e-05,5.868615214582585e-09
-399.5,0.4613849695661447,0.9999999945853133,1.0000000970009968,1.0000000915863096,1.0000069683008466,1.0000004806092277,1.0000000044338009,1.0000000002287643,0.00015000000687437307,5.40781228700954e-09,0.9999999881733102,0.9999999730782019,0.9999999612515124,1.0000021705799922,1.0000019224355252,0.9999999981297925,0.9999999999035104,0.00014999999710049418,1.1829589339888694e-08
-399.25,0.4686392840847113,0.9999999918088568,1.0000001454201366,1.0000001372289922,1.0000070749578487,1.0000004881658018,1.0000000098069608,1.0000000005138976,0.00022500001545551403,8.175687706758787e-09,0.9999999821222222,0.9999999595514258,0.9999999416736488,1.0000021983770815,1.0000019526617772,0.9999999958503852,0.9999999997825783,0.00022499999346106074,1.7884316771851396e-08
-399.0,0.47600300905060333,0.999999988985475,1.000000193801203,1.000000182786676,1.0000071832180135,1.0000004958363449,1.0000000171419274,1.0000000009121746,0.00030000002745659703,1.0987068420185655e-08,0.9999999759774401,0.9999999459763085,0.9999999219537499,1.0000022265907853,1.0000019833439042,0.9999999927238575,0.9999999996128881,0.00029999998834799054,2.4034212012685344e-08
-398.75,0.4834777186772331,0.999999986114518,1.000000242156272,1.0000002282707865,1.0000072931044346,1.0000005036224968,1.0000000263391535,1.0000000014231147,0.00037500004287167605,1.3842610344251891e-08,0.9999999697375397,0.999999932349527,0.9999999020870687,1.0000022552270158,1.0000020144884654,0.9999999887844818,0.999999999394201,0.0003749999817504535,3.028070987980114e-08
-398.5,0.49106500862879,0.9999999831953256,1.0000002904973853,1.000000273692706,1.0000074046405183,1.0000005115259198,1.000000037304581,1.0000000020462676,0.0004500000616956603,1.6742978835458265e-08,0.9999999634010769,0.9999999186677538,0.9999998820688337,1.0000022842917655,1.0000020461021093,0.9999999840645999,0.9999999991262671,0.0004499999736572621,3.662526583956756e-08
-398.25,0.4987664962942646,0.9999999802272269,1.0000003388365524,1.0000003190637725,1.0000075178499892,1.0000005195482986,1.0000000499491681,1.0000000027812115,0.0005250000839243107,1.968884883228289e-08,0.9999999569665868,0.9999999049276554,0.9999998618942464,1.0000023137911067,1.000002078191575,0.999999978594786,0.9999999988088248,0.0005249999640568698,4.3069356318894254e-08
-398.0,0.5065838210647057,0.9999999772095408,1.000000387185754,1.000000364395286,1.0000076327568925,1.000000527691341,1.0000000641887896,1.0000000036275547,0.0006000001095542375,2.268090494278046e-08,0.9999999504325837,0.9999998911258916,0.9999998415584808,1.000002343731194,1.0000021107636934,0.9999999724038807,0.9999999984416014,0.0005999999529373696,4.9614478896854165e-08
-397.75,0.51451864461374,0.9999999741415756,1.000000435556944,1.0000004096985085,1.0000077493855988,1.0000005359567778,1.0000000799440738,1.0000000045849342,0.0006750001385828965,2.5719841597625628e-08,0.9999999437975609,0.9999998772591153,0.9999998210566831,1.0000023741182629,1.0000021438253879,0.9999999655190481,0.9999999980243126,0.0006749999402864912,5.626215263946486e-08
-397.5,0.5225726511814028,0.9999999710226283,1.000000483962053,1.0000004549846673,1.0000078677608069,1.0000005443463635,1.0000000971399676,1.000000005653016,0.0007500001710085873,2.880636321293843e-08,0.9999999370599899,0.999999863323971,0.9999998003839694,1.0000024049586356,1.000002177383676,0.9999999579659239,0.9999999975566628,0.000749999926091599,6.301391845586753e-08
-397.25,0.5307475478612936,0.9999999678519853,1.0000005324129908,1.000000500264959,1.0000079879075516,1.0000005528618763,1.0000001157056169,1.0000000068314954,0.0008250002068304498,3.1941184273725765e-08,0.9999999302183211,0.9999998493170947,0.9999997795354264,1.0000024362587165,1.0000022114456708,0.9999999497686578,0.9999999970383447,0.0008249999103396908,6.987133928085433e-08
-397.0,0.5390450648911126,0.999999964628922,1.0000005809216486,1.00000054555055,1.0000081098512044,1.0000005615051184,1.00000013557426,1.000000008120096,0.0009000002460484636,3.512502948990092e-08,0.9999999232709822,0.999999835235113,0.9999997585061079,1.0000024680249964,1.0000022460185813,0.9999999409499498,0.99999999646904,0.0008999998930173938,7.683600041616023e-08
-396.75,0.5474669559466004,0.9999999613527026,1.0000006294999022,1.0000005908525804,1.0000082336174785,1.0000005702779164,1.0000001566828742,1.00000000951857,0.0009750002886634433,3.835863396728534e-08,0.9999999162163792,0.9999998210746422,0.9999997372910364,1.0000025002640536,1.0000022811097147,0.9999999315311718,0.9999999958484181,0.0009749998741109632,8.39095099045272e-08
-396.5,0.5560149984389228,0.9999999580225797,1.0000006781596154,1.0000006361821665,1.0000083592324338,1.0000005791821223,1.0000001789720214,1.0000000110266976,0.0010500003346770395,4.164274330327882e-08,0.999999909052895,0.9999998068322876,0.9999997158852002,1.0000025329825535,1.0000023167264767,0.9999999215324206,0.9999999951761371,0.00104999985360628,9.109349873898229e-08
-396.25,0.5646909938155338,0.9999999546377946,1.0000007269126405,1.0000006815504021,1.0000084867224823,1.0000005882196121,1.0000002023857768,1.0000000126442883,0.001125000384091735,4.497811373521475e-08,0.99999990177889,0.9999997925046429,0.9999996942835533,1.0000025661872505,1.0000023528763728,0.9999999109725427,0.9999999944518435,0.001124999831488848,9.838962118736284e-08
-396.0,0.5734967678645566,0.9999999511975769,1.000000775770824,1.000000726968363,1.0000086161143897,1.000000597392288,1.0000002268714596,1.0000000143711785,0.001200000436910843,4.83655123190523e-08,0.9999998943927011,0.9999997780882893,0.9999996724810138,1.0000025998849902,1.0000023895670112,0.9999998998692265,0.9999999936751719,0.0011999998077437911,1.0579955518320437e-07
-395.75,0.5824341710227179,0.9999999477011445,1.0000008247460068,1.0000007724471083,1.000008747435283,1.0000006067020775,1.0000002523794533,1.0000000162072338,0.0012750004931385086,5.180571704656685e-08,0.9999998868926416,0.999999763579795,0.9999996504724634,1.000002634082708,1.0000024268061012,0.9999998882390647,0.999999992845745,0.0012749997823558498,1.1332500258209336e-07
-395.5,0.5915050786868677,0.9999999441477033,1.0000008738500272,1.0000008179976818,1.0000088807126524,1.0000006161509338,1.0000002788631506,1.000000018152347,0.0013500005527797051,5.529951697939687e-08,0.9999998792770012,0.9999997489757145,0.999999628252746,1.0000026687874324,1.0000024646014574,0.9999998760975726,0.9999999919631738,0.0013499997553093812,1.2096768945489318e-07
-395.25,0.6007113915291385,0.9999999405364474,1.000000923094725,1.0000008636311175,1.000009015974358,1.0000006257408371,1.0000003062787608,1.0000000202064387,0.0014250006158402326,5.8847712433711084e-08,0.9999998715440452,0.9999997342725871,0.9999996058166665,1.0000027040062858,1.000002502960999,0.9999998634592546,0.9999999910270572,0.0014249997265883528,1.28729366491702e-07
-395.0,0.6100550358157567,0.9999999368665582,1.000000972491943,1.0000009093584397,1.0000091532486337,1.0000006354737938,1.0000003345851187,1.0000000223694578,0.0015000006823267195,6.245111512479573e-08,0.9999998636920144,0.9999997194669374,0.9999995831589901,1.000002739746484,1.000002541892752,0.9999998503376702,0.9999999900369821,0.0014999996961763413,1.366118093181358e-07
-394.75,0.6195379637295687,0.999999933137205,1.0000010220535291,1.000000955190666,1.0000092925640909,1.0000006453518373,1.0000003637436323,1.0000000246413803,0.0015750007522466213,6.611054828606931e-08,0.9999998557191249,0.9999997045552736,0.9999995602744411,1.00000277601534,1.0000025814048503,0.9999998367454516,0.9999999889925235,0.0015749996640565295,1.4461681875567158e-07
-394.5,0.6291621536963055,0.9999999293475449,1.0000010717913401,1.0000010011388092,1.0000094339497252,1.0000006553770286,1.000000393718154,1.00000002702221,0.0016500008256082179,6.98268468557742e-08,0.9999998476235672,0.9999996895340872,0.9999995371577017,1.0000028128202625,1.0000026215055375,0.9999998226943474,0.999999987893244,0.0016499996302117028,1.5274622123003368e-07
-394.25,0.6389296107146298,0.9999999254967217,1.0000011217172442,1.0000010472138823,1.0000095774349187,1.0000006655514564,1.0000004244747907,1.0000000295119782,0.0017250009024206156,7.36008576512061e-08,0.9999998394035068,0.999999674399852,0.9999995138034111,1.0000028501687594,1.0000026622031677,0.9999998081952892,0.999999986738694,0.001724999594624246,1.6100186915231863e-07
-394.0,0.6488423666900062,0.9999999215838667,1.0000011718431217,1.0000010934268966,1.0000097230494485,1.0000006758772368,1.000000455981852,1.0000000321107436,0.0018000009826937488,7.743343947584975e-08,0.9999998310570829,0.9999996591490239,0.9999994902061644,1.000002888068438,1.0000027035062067,0.9999997932584084,0.9999999855284115,0.0017999995572761402,1.6938564115335312e-07
-393.75,0.6589024807724249,0.9999999176080983,1.00000122218087,1.0000011397888675,1.0000098708234877,1.0000006863565152,1.0000004882097613,1.0000000348185922,0.0018750010664383744,8.132546330653849e-08,0.9999998225824087,0.9999996437780394,0.9999994663605113,1.0000029265270047,1.0000027454232345,0.9999997778930666,0.9999999842619225,0.0018749995181489604,1.7789944249310384e-07
-393.5,0.6691120396980406,0.9999999135685214,1.0000012727424057,1.0000011863108171,1.0000100207876126,1.0000006969914652,1.0000005211308853,1.0000000376356375,0.001950001153666078,8.527781249250086e-08,0.9999998139775708,0.9999996282833155,0.9999994422609554,1.0000029655522698,1.0000027879629456,0.9999997621079146,0.9999999829387402,0.0019499994772238694,1.865452054960893e-07
-393.25,0.6794731581347339,0.9999999094642279,1.0000013235396654,1.0000012330037735,1.0000101729728075,1.0000007077842892,1.0000005547194797,1.0000000405620195,0.002025001244389272,8.929138285735187e-08,0.9999998052406287,0.9999996126612485,0.9999994179019526,1.0000030051521451,1.0000028311341513,0.9999997459109109,0.999999981558365,0.0020249994344816178,1.9532488977448453e-07
-393.0,0.6899879790316743,0.9999999052942959,1.0000013745846106,1.0000012798787763,1.0000103274104701,1.00000071873722,1.0000005889516201,1.0000000435979066,0.0021000013386211955,9.336708288978106e-08,0.999999796369615,0.9999995969082138,0.9999993932779109,1.0000030453346482,1.0000028749457799,0.9999997293093451,0.9999999801202852,0.002099999389902537,2.0424048264524922e-07
-392.75,0.7006586739728878,0.9999999010577901,1.0000014258892285,1.0000013269468775,1.0000104841324153,1.000000729852519,1.0000006238050654,1.0000000467434933,0.0021750014363759156,9.750583395247169e-08,0.999999787362534,0.9999995810205645,0.9999993683831876,1.000003086107901,1.00000291940688,0.9999997123098853,0.999999978623976,0.0021749993434665377,2.1329399958713566e-07
-392.5,0.7114874435349017,0.9999998967537612,1.0000014774655352,1.000001374219144,1.0000106431708817,1.0000007411324792,1.0000006592591943,1.0000000499990018,0.002250001537668331,1.0170857039897207e-07,0.9999997782173626,0.9999995649946312,0.9999993432120903,1.0000031274801335,1.0000029645266206,0.999999694918599,0.9999999770689,0.0022499992951531054,2.2248748449634342e-07
-392.25,0.72247651764849,0.9999998923812461,1.0000015293255788,1.0000014217066604,1.0000108045585363,1.0000007525794228,1.0000006952949518,1.0000000533646816,0.002325001642514169,1.0597623975490599e-07,0.9999997689320488,0.999999548826721,0.9999993177588741,1.0000031694596825,1.0000030103142925,0.9999996771409722,0.9999999754545064,0.002324999244941298,2.3182301008291492e-07
-392.0,0.7336281559645683,0.9999998879392671,1.000001581481441,1.0000014694205308,1.0000109683284808,1.0000007641957038,1.0000007318947417,1.0000000568408083,0.002400001750929989,1.103098029361671e-07,0.9999997595045121,0.9999995325131169,0.9999992920177415,1.0000032120549955,1.0000030567793112,0.9999996589819458,0.9999999737802318,0.002399999192809739,2.413026783480328e-07
-391.75,0.7449446482242805,0.9999998834268324,1.0000016339452396,1.0000015173718815,1.0000111345142553,1.0000007759837075,1.0000007690423607,1.0000000604276857,0.0024750018629331855,1.147102343919924e-07,0.9999997499326427,0.9999995160500765,0.9999992659828403,1.0000032552746314,1.0000031039312172,0.9999996404459378,0.9999999720454995,0.002474999138736615,2.5092862089699143e-07
-391.5,0.7564283146333131,0.9999998788429357,1.0000016867291321,1.0000015655718635,1.0000113031498443,1.0000007879458506,1.000000806722953,1.0000000641256441,0.0025500019785419875,1.1917852226859438e-07,0.9999997402143013,0.9999994994338326,0.9999992396482639,1.000003299127259,1.0000031517796775,0.9999996215368597,0.9999999702497195,0.002549999082699673,2.6070299929713976e-07
-391.25,0.7680815062404994,0.9999998741865559,1.0000017398453176,1.0000016140316546,1.0000114742696846,1.0000008000845824,1.0000008449229283,1.0000000679350405,0.0026250020977754604,1.2371566863453012e-07,0.9999997303473184,0.9999994826605906,0.9999992130080485,1.0000033436216633,1.0000032003344883,0.9999996022581439,0.9999999683922889,0.002624999024676214,2.706280055708738e-07
-391.0,0.7799066053207278,0.9999998694566569,1.0000017933060386,1.0000016627624613,1.000011647908667,1.0000008124023838,1.0000008836298953,1.0000000718562598,0.0027000022206535106,1.2832268965711375e-07,0.9999997203294946,0.9999994657265291,0.9999991860561731,1.000003388766743,1.0000032496055755,0.999999582612766,0.9999999664725906,0.002699998964643089,2.8070586258153577e-07
-390.75,0.7919060257622274,0.9999998646521874,1.0000018471235845,1.000001711775522,1.0000118241021436,1.00000082490177,1.0000009228326254,1.0000000758897134,0.002775002347196886,1.3300061574760766e-07,0.9999997101585991,0.9999994486277989,0.9999991587865578,1.0000034345715139,1.000003299602997,0.9999995626032581,0.9999999644899944,0.002774998902576696,2.9093882435101856e-07
-390.5,0.8040822134582574,0.9999998597720811,1.0000019013102945,1.000001761082109,1.0000120028859356,1.0000008375852882,1.0000009625209854,1.0000000800358397,0.0028500024774271776,1.3775049178894073e-07,0.9999996998323707,0.9999994313605218,0.9999991311930632,1.000003481045108,1.0000033503369437,0.9999995422317309,0.9999999624438565,0.0028499988384529757,3.013291765578955e-07
-390.25,0.8164376467032497,0.9999998548152559,1.0000019558785587,1.0000018106935307,1.0000121842963359,1.0000008504555202,1.0000010026858779,1.0000000842951045,0.002925002611366823,1.4257337734815667e-07,0.9999996893485158,0.9999994139207902,0.999999103269488,1.0000035281967783,1.0000034018177417,0.9999995214998946,0.9999999603335188,0.002924998772247404,3.1187923700214844e-07
-390.0,0.8289748365934517,0.9999998497806142,1.0000020108408212,1.0000018606211334,1.0000123683701168,1.0000008635150819,1.0000010433192124,1.0000000886680005,0.003000002749039112,1.474703468070329e-07,0.9999996787047093,0.9999993963046664,0.9999990750095696,1.0000035760358978,1.0000034540558538,0.9999995004090679,0.99999995815831,0.00299999870393499,3.225913558908947e-07
-389.75,0.8416963274321128,0.9999998446670423,1.0000020662095832,1.0000019108763045,1.0000125551445345,1.0000008767666233,1.0000010844138436,1.000000093155048,0.0030750028904681826,1.524424895902441e-07,0.9999996678985936,0.9999993785081815,0.9999990464069816,1.000003624571962,1.0000035070618813,0.9999994789602001,0.9999999559175442,0.0030749986334902726,3.334679163374912e-07
-389.5,0.8546046971392623,0.9999998394734106,1.0000021219974056,1.0000019614704756,1.0000127446573377,1.00000089021283,1.0000011259635249,1.0000000977567938,0.003150003035679031,1.5749091040792435e-07,0.999999656927778,0.9999993605273348,0.9999990174553323,1.0000036738145883,1.000003560846565,0.9999994571538856,0.9999999536105215,0.0031499985608873116,3.445113348921357e-07
-389.25,0.867702557666117,0.9999998341985731,1.0000021782169095,1.0000020124151214,1.0000129369467698,1.0000009038564224,1.0000011679628844,1.0000001024738123,0.0032250031846975157,1.6261672937994103e-07,0.9999996457898387,0.9999993423580931,0.9999989881481647,1.000003723773522,1.000003615420788,0.9999994349903729,0.9999999512365279,0.003224998486099684,3.5572406181371387e-07
-389.0,0.8809925554141878,0.9999998288413674,1.0000022348807818,1.0000020637217666,1.0000131320515793,1.0000009177001574,1.0000012104073661,1.0000001073067053,0.0033000033375503507,1.6782108226822371e-07,0.9999996344823181,0.9999993239963899,0.9999989584789551,1.0000037744586323,1.0000036707955768,0.9999994124695843,0.9999999487948344,0.003299998409100485,3.671085815780155e-07
