# Galaxy logMstar logSFR logMHI logMH2 DMS vel class
NGC4189 9.734349250793457 -0.34565043449401855 8.780265250927675 8.5520601272583 -0.06032156944274902 1995 1.0
NGC4192 10.764348983764648 0.114349365234375 9.655332657810003 9.122060775756836 -0.280120849609375 -118 1.0
NGC4222 9.434349060058594 -0.885650634765625 8.832038478282383 7.9320597648620605 -0.40232181549072266 225 1.0
NGC4254 10.504349708557129 0.684349536895752 9.672950451534023 9.742060661315918 0.46147871017456055 2453 1.0
NGC4294 9.364349365234375 -0.40565061569213867 9.239790613793032 7.612060070037842 0.12387800216674805 421 1.0
NGC4321 10.781280517578125 0.6112806797027588 9.48574802436492 9.70206069946289 0.20563530921936035 1579 1.0
NGC4351 9.354349136352539 -0.9256505966186523 8.502617954147384 7.71205997467041 -0.38952159881591797 2388 1.0
NGC4383 9.424348831176758 -0.005650520324707031 9.491804231846636 8.242059707641602 0.48427867889404297 1663 1.0
NGC4396 9.344348907470703 -0.6856505870819092 8.962783151428534 7.922060012817383 -0.14292120933532715 -115 1.0
NGC4535 10.527653694152832 0.347653865814209 9.54225709401326 9.282060623168945 0.10940217971801758 1973 1.0
NGC4567 10.234349250793457 0.01434946060180664 9.001373520221774 8.70206069946289 -0.030321598052978516 2213 1.0
NGC4568 10.454349517822266 0.2743494510650635 9.206983338571465 9.282060623168945 0.08447861671447754 2260 1.0
NGC4298 10.094348907470703 -0.2756505012512207 8.721483093267327 8.95206069946289 -0.2279210090637207 1122 2.0
NGC4302 10.454349517822266 -0.2956504821777344 9.19807506825563 8.96205997467041 -0.4855213165283203 1111 2.0
NGC4330 9.614349365234375 -0.8556504249572754 8.674606110400156 8.202059745788574 -0.491121768951416 1567 2.0
NGC4388 10.054348945617676 0.3843495845794678 8.59246566289486 8.752059936523438 0.4584786891937256 2538 2.0
NGC4402 10.114349365234375 -0.20565056800842285 8.594603097469754 8.972060203552246 -0.17112183570861816 190 2.0
NGC4424 9.895280838012695 -0.5147197246551514 8.310932556139973 8.182060241699219 -0.3356053829193115 447 2.0
NGC4501 10.984349250793457 0.4143495559692383 9.24583753707838 9.562060356140137 -0.1253213882446289 2120 2.0
NGC4522 9.644349098205566 -0.7956504821777344 8.557644823738448 8.172060012817383 -0.45092105865478516 2332 2.0
NGC4654 10.244349479675293 0.29434943199157715 9.499016988077466 9.192060470581055 0.24307799339294434 1035 2.0
NGC4694 9.924348831176758 -0.8656506538391113 8.429353677573218 8.092060089111328 -0.705721378326416 1211 2.0
NGC4064 10.046130180358887 -0.4938697814941406 7.626684233306289 8.27206039428711 -0.41431617736816406 1000 3.0
NGC4216 10.894349098205566 -0.2156505584716797 9.27460319759266 8.822060585021973 -0.6959209442138672 30 3.0
NGC4293 10.526727676391602 -0.243272066116333 7.45059377366679 8.732060432434082 -0.480912446975708 717 3.0
NGC4380 10.094348907470703 -0.7856504917144775 8.12935972806267 8.46205997467041 -0.7379209995269775 935 3.0
NGC4394 10.324349403381348 -0.8056504726409912 8.668675338443782 7.84205961227417 -0.9097211360931396 772 3.0
NGC4405 9.734349250793457 -0.8956503868103027 7.6821993738032415 8.132060050964355 -0.6103215217590332 1751 3.0
NGC4419 10.23430061340332 0.054300546646118164 7.7894150681673056 8.972060203552246 0.00966191291809082 -228 3.0
NGC4450 10.684349060058594 -0.565650463104248 8.481079205097062 8.542059898376465 -0.9073214530944824 2048 3.0
IC3392 9.823572158813477 -0.9864275455474854 7.664470809316811 8.232060432434082 -0.7599852085113525 1678 3.0
NGC4457 10.468718528747559 -0.4412813186645508 8.31364607507017 8.882060050964355 -0.6406354904174805 738 3.0
NGC4548 10.665937423706055 -0.26406192779541016 8.834491326112065 8.862060546875 -0.5935811996459961 498 3.0
NGC4569 10.844348907470703 0.1443495750427246 8.819559186053745 9.45206069946289 -0.3029208183288574 -220 3.0
NGC4579 10.904349327087402 0.06434941291809082 8.777485349925852 9.182060241699219 -0.42252135276794434 1627 3.0
NGC4580 9.966727256774902 -0.8732719421386719 7.469897451243499 8.422060012817383 -0.7413120269775391 1227 3.0
NGC4606 9.851147651672363 -1.0888519287109375 7.419922225523208 8.012060165405273 -0.8806095123291016 1653 3.0
NGC4607 9.624349594116211 -0.5956504344940186 8.36704318403414 8.442060470581055 -0.23772120475769043 2284 3.0
NGC4689 10.144349098205566 -0.3056504726409912 8.699789790936894 8.892060279846191 -0.2909209728240967 1522 3.0
NGC4698 10.474349021911621 -0.8456504344940186 9.240910026688065 7.8120598793029785 -1.0487210750579834 1032 3.0
