Galaxy,MAUVE_stage,MAUVE_stage_label,DEF_K18,R_M87_K18_mpc,Ropt_K18_kpc,vrot_K18_kms,p_loc_K18,p_cfg_K18,p_def_K18,r_HI_iso_K18_kpc,in_K18_catalogue,K18_input_source,VCC_GoldMine_live,distance_GoldMine_live_mpc,Aradius_GoldMine_live_arcsec,inclination_GoldMine_live_deg,logMHI_GoldMine_live,W50_GoldMine_live_kms,WIDTHA_GoldMine_live_kms,GoldMine_live_audit_note,DEF_ModelA,R_M87_ModelA_mpc,Ropt_ModelA_kpc,vrot_ModelA_kms,modelA_computable,modelA_input_status,MHI_GoldMine_field_used,vrot_ModelA_derivation
NGC4522,2.0,close-to-peak,0.65,0.98,10.0,105.7,0.22,1.85,0.52,6.6,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.65,0.98,10.0,105.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4654,2.0,close-to-peak,-0.08,0.97,12.3,165.8,0.23,0.07,,17.0,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,-0.08,0.97,12.3,165.8,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4694,2.0,close-to-peak,0.46,3.75,6.2,34.7,0.01,0.07,0.06,3.4,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.46,3.75,6.2,34.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4064,3.0,post-peak,1.45,2.95,11.4,58.8,0.02,0.32,1.56,2.1,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.45,2.95,11.4,58.8,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4216,3.0,post-peak,0.51,1.1,22.5,260.7,0.18,0.38,0.51,14.1,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.51,1.1,22.5,260.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4293,3.0,post-peak,1.69,3.3,10.5,163.7,0.02,,24.8,,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.69,3.3,10.5,163.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4380,3.0,post-peak,0.91,6.1,11.8,151.3,0.0,0.7,1.98,5.0,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,0.91,6.1,11.8,151.3,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4394,3.0,post-peak,,,,,,,,,False,not present in Koppen2018 Appendix E,857.0,17.0,216.0,0.0,8.51,,174.0,"GoldMine MHI_GM and WIDTHA exist, but inclination=0 prevents Köppen vrot",0.7006494535200094,1.7620576749,8.90117918517524,,False,GoldMine record present but vrot undefined because inclination=0,MHI_GM,not computable: WIDTHA/sin(incl) with incl=0
NGC4405,3.0,post-peak,1.02,1.17,4.7,102.3,0.16,1.35,5.95,2.1,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.02,1.17,4.7,102.3,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
NGC4419,3.0,post-peak,1.24,0.84,8.7,195.7,0.3,3.01,15.3,2.7,True,Koppen2018 Appendix E; GoldMine-derived published row,,,,,,,,,1.24,0.84,8.7,195.7,True,published Köppen 2018 Appendix E (GoldMine-derived),,published Appendix-E vrot
