b,SFR_Msun_per_yr,epsilon_per_Gyr,gas_to_stellar_mass,Z_mass_fraction,age_Gyr,inflow_Msun_per_yr
0.000000000000000000e+00,2.206484676346478579e+01,5.000000000000000000e-01,8.805031446540881879e-01,9.905513231414812131e-03,5.707041320882040303e+00,2.341448156833404681e+01
0.000000000000000000e+00,2.219093160211315663e+01,5.000000000000000000e-01,8.855345911949686899e-01,9.885837958103283959e-03,5.680715958385158970e+00,2.356737856206203219e+01
0.000000000000000000e+00,2.231701644076152391e+01,5.000000000000000000e-01,8.905660377358490809e-01,9.866201238931969486e-03,5.654657430056032830e+00,2.372057986380576011e+01
0.000000000000000000e+00,2.244310127940989474e+01,5.000000000000000000e-01,8.955974842767295829e-01,9.846603704292557213e-03,5.628861452053016023e+00,2.387408608190019876e+01
0.000000000000000000e+00,2.256918611805826558e+01,5.000000000000000000e-01,9.006289308176100850e-01,9.827045961616277456e-03,5.603323834783851431e+00,2.402789781502852406e+01
0.000000000000000000e+00,2.269527095670663641e+01,5.000000000000000000e-01,9.056603773584905870e-01,9.807528595989118553e-03,5.578040480283870117e+00,2.418201565240921624e+01
0.000000000000000000e+00,2.282135579535500725e+01,5.000000000000000000e-01,9.106918238993712000e-01,9.788052170751567610e-03,5.553007379681921485e+00,2.433644017397907788e+01
0.000000000000000000e+00,2.294744063400337453e+01,5.000000000000000000e-01,9.157232704402515910e-01,9.768617228083210577e-03,5.528220610750615549e+00,2.449117195057209884e+01
0.000000000000000000e+00,2.307352547265174536e+01,5.000000000000000000e-01,9.207547169811320931e-01,9.749224289572566357e-03,5.503676335537615927e+00,2.464621154409445580e+01
0.000000000000000000e+00,2.319961031130011619e+01,5.000000000000000000e-01,9.257861635220127061e-01,9.729873856772559143e-03,5.479370798074967297e+00,2.480155950769550444e+01
0.000000000000000000e+00,2.332569514994848703e+01,5.000000000000000000e-01,9.308176100628930971e-01,9.710566411741446829e-03,5.455300322162859317e+00,2.495721638593546032e+01
0.000000000000000000e+00,2.345177998859685786e+01,5.000000000000000000e-01,9.358490566037737102e-01,9.691302417570801450e-03,5.431461309226493839e+00,2.511318271494852894e+01
0.000000000000000000e+00,2.357786482724522514e+01,5.000000000000000000e-01,9.408805031446539902e-01,9.672082318899181616e-03,5.407850236241299235e+00,2.526945902260329291e+01
0.000000000000000000e+00,2.370394966589359598e+01,5.000000000000000000e-01,9.459119496855346032e-01,9.652906542413080757e-03,5.384463653725389598e+00,2.542604582865920904e+01
0.000000000000000000e+00,2.383003450454196681e+01,5.000000000000000000e-01,9.509433962264151052e-01,9.633775497334956875e-03,5.361298183796188610e+00,2.558294364491968054e+01
0.000000000000000000e+00,2.395611934319033764e+01,5.000000000000000000e-01,9.559748427672957183e-01,9.614689575898720253e-03,5.338350518288883961e+00,2.574015297538185010e+01
0.000000000000000000e+00,2.408220418183870848e+01,5.000000000000000000e-01,9.610062893081761093e-01,9.595649153812986151e-03,5.315617416934425243e+00,2.589767431638314932e+01
0.000000000000000000e+00,2.420828902048707931e+01,5.000000000000000000e-01,9.660377358490567223e-01,9.576654590712411694e-03,5.293095705594924816e+00,2.605550815674459386e+01
