log_Sigma_M,log_Sigma_SFR,O_H,Delta_log_Sigma_SFR,Delta_O_H
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.731946618196023,-3.89247804559022,8.48671369651575,-1.3699924206378231,-0.05406596488725057
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.7030451940690385,-3.732086801272103,8.490621626375471,-1.209601176319706,-0.050158035027529024
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.646709596485728,-3.6198675567075864,8.565417353825014,-1.0973819317551894,0.024637692422013302
7.68625478987318,-3.575152421697938,8.66522341818183,-1.052666796745541,0.12444375677882924
7.68625478987318,-3.575152421697938,8.66522341818183,-1.052666796745541,0.12444375677882924
7.68625478987318,-3.575152421697938,8.66522341818183,-1.052666796745541,0.12444375677882924
7.68625478987318,-3.575152421697938,8.66522341818183,-1.052666796745541,0.12444375677882924
7.68625478987318,-3.575152421697938,8.66522341818183,-1.052666796745541,0.12444375677882924
