stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
close-to-peak,radius_re,0.5,0.75,0.625,ND,5,3.912145102780741e+36,True
close-to-peak,radius_re,0.75,1.0,0.875,SF,5,1.2670317237996177e+39,True
close-to-peak,radius_re,0.75,1.0,0.875,NSF,5,1.9462394770705992e+38,True
close-to-peak,radius_re,0.75,1.0,0.875,ND,5,6.663627598576028e+36,True
close-to-peak,radius_re,1.0,1.25,1.125,SF,5,9.148610680652949e+38,True
close-to-peak,radius_re,1.0,1.25,1.125,NSF,5,9.889116396258868e+37,True
close-to-peak,radius_re,1.0,1.25,1.125,ND,5,8.410086995733896e+36,True
close-to-peak,radius_re,1.25,1.5,1.375,SF,5,6.168390697220393e+38,True
close-to-peak,radius_re,1.25,1.5,1.375,NSF,5,6.010944512276949e+37,True
close-to-peak,radius_re,1.25,1.5,1.375,ND,5,1.105055474741269e+37,True
close-to-peak,radius_re,1.5,1.75,1.625,SF,5,3.475085939119631e+38,True
close-to-peak,radius_re,1.5,1.75,1.625,NSF,5,4.2330977947244824e+37,True
close-to-peak,radius_re,1.5,1.75,1.625,ND,5,1.3492663270871525e+37,True
close-to-peak,radius_re,1.75,2.0,1.875,SF,5,1.8454614585895318e+38,True
close-to-peak,radius_re,1.75,2.0,1.875,NSF,5,1.8365495030674055e+37,True
close-to-peak,radius_re,1.75,2.0,1.875,ND,5,1.3753607314084243e+37,True
close-to-peak,radius_re,2.0,2.25,2.125,SF,4,9.32758197915127e+37,True
close-to-peak,radius_re,2.0,2.25,2.125,NSF,4,1.0664322182158802e+37,True
close-to-peak,radius_re,2.0,2.25,2.125,ND,4,1.408533027909893e+37,True
close-to-peak,radius_re,2.25,2.5,2.375,SF,3,6.067098764464366e+36,True
close-to-peak,radius_re,2.25,2.5,2.375,NSF,3,5.2683265252859105e+36,True
close-to-peak,radius_re,2.25,2.5,2.375,ND,3,1.4121330316486455e+37,True
close-to-peak,radius_re,2.5,2.75,2.625,SF,2,1.4932696120793304e+36,False
close-to-peak,radius_re,2.5,2.75,2.625,NSF,2,3.407900437296397e+36,False
close-to-peak,radius_re,2.5,2.75,2.625,ND,2,1.7260847671584577e+37,False
close-to-peak,radius_re,2.75,3.0,2.875,SF,2,0.0,False
close-to-peak,radius_re,2.75,3.0,2.875,NSF,2,0.0,False
close-to-peak,radius_re,2.75,3.0,2.875,ND,2,1.7370632578105241e+37,False
close-to-peak,radius_re,3.0,3.25,3.125,SF,1,0.0,False
close-to-peak,radius_re,3.0,3.25,3.125,NSF,1,0.0,False
close-to-peak,radius_re,3.0,3.25,3.125,ND,1,1.2766612426551075e+37,False
close-to-peak,radius_re,3.25,3.5,3.375,SF,0,,False
close-to-peak,radius_re,3.25,3.5,3.375,NSF,0,,False
close-to-peak,radius_re,3.25,3.5,3.375,ND,0,,False
close-to-peak,radius_re,3.5,3.75,3.625,SF,0,,False
close-to-peak,radius_re,3.5,3.75,3.625,NSF,0,,False
close-to-peak,radius_re,3.5,3.75,3.625,ND,0,,False
close-to-peak,radius_re,3.75,4.0,3.875,SF,0,,False
close-to-peak,radius_re,3.75,4.0,3.875,NSF,0,,False
close-to-peak,radius_re,3.75,4.0,3.875,ND,0,,False
close-to-peak,radius_re,4.0,4.25,4.125,SF,0,,False
close-to-peak,radius_re,4.0,4.25,4.125,NSF,0,,False
close-to-peak,radius_re,4.0,4.25,4.125,ND,0,,False
close-to-peak,radius_re,4.25,4.5,4.375,SF,0,,False
close-to-peak,radius_re,4.25,4.5,4.375,NSF,0,,False
close-to-peak,radius_re,4.25,4.5,4.375,ND,0,,False
close-to-peak,radius_re,4.5,4.75,4.625,SF,0,,False
close-to-peak,radius_re,4.5,4.75,4.625,NSF,0,,False
close-to-peak,radius_re,4.5,4.75,4.625,ND,0,,False
close-to-peak,radius_re,4.75,5.0,4.875,SF,0,,False
close-to-peak,radius_re,4.75,5.0,4.875,NSF,0,,False
close-to-peak,radius_re,4.75,5.0,4.875,ND,0,,False
close-to-peak,radius_re,5.0,5.25,5.125,SF,0,,False
