stage,variable,bin_left,bin_right,center,category,N_gal_usable,j_mean,in_fixed_reliable_range
pre-peak,log_sigma_star,8.5,8.75,8.625,NSF,7,1.1652337542119347e+39,True
pre-peak,log_sigma_star,8.5,8.75,8.625,ND,7,3.230481451337784e+36,True
pre-peak,log_sigma_star,8.75,9.0,8.875,SF,6,1.6388709501754512e+40,True
pre-peak,log_sigma_star,8.75,9.0,8.875,NSF,6,4.7366675489746074e+39,True
pre-peak,log_sigma_star,8.75,9.0,8.875,ND,6,7.535831863316413e+35,True
pre-peak,log_sigma_star,9.0,9.25,9.125,SF,6,3.1437787573581535e+40,True
pre-peak,log_sigma_star,9.0,9.25,9.125,NSF,6,1.4850817444367604e+40,True
pre-peak,log_sigma_star,9.0,9.25,9.125,ND,6,0.0,True
pre-peak,log_sigma_star,9.25,9.5,9.375,SF,6,4.57792264695331e+40,True
pre-peak,log_sigma_star,9.25,9.5,9.375,NSF,6,5.824451469392089e+40,True
pre-peak,log_sigma_star,9.25,9.5,9.375,ND,6,0.0,True
pre-peak,log_sigma_star,9.5,9.75,9.625,SF,4,2.9634594043224787e+40,False
pre-peak,log_sigma_star,9.5,9.75,9.625,NSF,4,9.88811851733186e+40,False
pre-peak,log_sigma_star,9.5,9.75,9.625,ND,4,0.0,False
pre-peak,log_sigma_star,9.75,10.0,9.875,SF,3,3.4645075711856915e+40,False
pre-peak,log_sigma_star,9.75,10.0,9.875,NSF,3,8.656286258972856e+40,False
pre-peak,log_sigma_star,9.75,10.0,9.875,ND,3,0.0,False
pre-peak,log_sigma_star,10.0,10.25,10.125,SF,1,0.0,False
pre-peak,log_sigma_star,10.0,10.25,10.125,NSF,1,3.163754894979542e+40,False
pre-peak,log_sigma_star,10.0,10.25,10.125,ND,1,0.0,False
pre-peak,log_sigma_star,10.25,10.5,10.375,SF,1,0.0,False
pre-peak,log_sigma_star,10.25,10.5,10.375,NSF,1,8.166474479967886e+40,False
pre-peak,log_sigma_star,10.25,10.5,10.375,ND,1,0.0,False
pre-peak,log_sigma_star,10.5,10.75,10.625,SF,0,,False
pre-peak,log_sigma_star,10.5,10.75,10.625,NSF,0,,False
pre-peak,log_sigma_star,10.5,10.75,10.625,ND,0,,False
pre-peak,log_sigma_star,10.75,11.0,10.875,SF,0,,False
pre-peak,log_sigma_star,10.75,11.0,10.875,NSF,0,,False
pre-peak,log_sigma_star,10.75,11.0,10.875,ND,0,,False
pre-peak,log_sigma_star,11.0,11.25,11.125,SF,0,,False
pre-peak,log_sigma_star,11.0,11.25,11.125,NSF,0,,False
pre-peak,log_sigma_star,11.0,11.25,11.125,ND,0,,False
pre-peak,radius_re,0.0,0.25,0.125,SF,8,2.5659260463767126e+40,True
pre-peak,radius_re,0.0,0.25,0.125,NSF,8,1.6952920049499862e+40,True
pre-peak,radius_re,0.0,0.25,0.125,ND,8,1.4331474284914287e+36,True
pre-peak,radius_re,0.25,0.5,0.375,SF,8,9.393159244362809e+39,True
pre-peak,radius_re,0.25,0.5,0.375,NSF,8,3.5568972106788456e+39,True
pre-peak,radius_re,0.25,0.5,0.375,ND,8,4.335432223225484e+36,True
pre-peak,radius_re,0.5,0.75,0.625,SF,8,7.858645131673575e+39,True
pre-peak,radius_re,0.5,0.75,0.625,NSF,8,1.4183537630774213e+39,True
pre-peak,radius_re,0.5,0.75,0.625,ND,8,2.842063622981251e+36,True
pre-peak,radius_re,0.75,1.0,0.875,SF,8,3.546691856109328e+39,True
pre-peak,radius_re,0.75,1.0,0.875,NSF,8,5.0569120882922704e+38,True
pre-peak,radius_re,0.75,1.0,0.875,ND,8,6.381999503673842e+36,True
pre-peak,radius_re,1.0,1.25,1.125,SF,8,2.42745593110381e+39,True
pre-peak,radius_re,1.0,1.25,1.125,NSF,8,3.2244475347498935e+38,True
pre-peak,radius_re,1.0,1.25,1.125,ND,8,7.450546969457815e+36,True
pre-peak,radius_re,1.25,1.5,1.375,SF,8,1.896296321189623e+39,True
pre-peak,radius_re,1.25,1.5,1.375,NSF,8,2.2441053957636243e+38,True
pre-peak,radius_re,1.25,1.5,1.375,ND,8,6.884199614638425e+36,True
pre-peak,radius_re,1.5,1.75,1.625,SF,7,9.842837085026625e+38,True
pre-peak,radius_re,1.5,1.75,1.625,NSF,7,1.4760925640510492e+38,True
pre-peak,radius_re,1.5,1.75,1.625,ND,7,1.038672734565254e+37,True
pre-peak,radius_re,1.75,2.0,1.875,SF,6,6.641863874376229e+38,True
pre-peak,radius_re,1.75,2.0,1.875,NSF,6,1.1568643155768374e+38,True
pre-peak,radius_re,1.75,2.0,1.875,ND,6,1.2760555175243424e+37,True
pre-peak,radius_re,2.0,2.25,2.125,SF,4,5.813464051020432e+38,True
pre-peak,radius_re,2.0,2.25,2.125,NSF,4,1.4050122316556901e+38,True
pre-peak,radius_re,2.0,2.25,2.125,ND,4,1.151307974842789e+37,True
pre-peak,radius_re,2.25,2.5,2.375,SF,4,9.299545926104168e+38,True
pre-peak,radius_re,2.25,2.5,2.375,NSF,4,9.97953212447204e+37,True
pre-peak,radius_re,2.25,2.5,2.375,ND,4,1.3421248861874687e+37,True
pre-peak,radius_re,2.5,2.75,2.625,SF,3,1.4092913219699504e+39,False
pre-peak,radius_re,2.5,2.75,2.625,NSF,3,9.3652871423131e+37,False
pre-peak,radius_re,2.5,2.75,2.625,ND,3,5.440715380056932e+36,False
pre-peak,radius_re,2.75,3.0,2.875,SF,2,1.0555243993374568e+39,False
pre-peak,radius_re,2.75,3.0,2.875,NSF,2,1.1643540450535521e+38,False
pre-peak,radius_re,2.75,3.0,2.875,ND,2,1.3494454198049203e+36,False
pre-peak,radius_re,3.0,3.25,3.125,SF,1,1.1112426468788246e+39,False
pre-peak,radius_re,3.0,3.25,3.125,NSF,1,1.6831883474347009e+38,False
pre-peak,radius_re,3.0,3.25,3.125,ND,1,0.0,False
pre-peak,radius_re,3.25,3.5,3.375,SF,1,6.208268652329582e+38,False
pre-peak,radius_re,3.25,3.5,3.375,NSF,1,0.0,False
pre-peak,radius_re,3.25,3.5,3.375,ND,1,0.0,False
pre-peak,radius_re,3.5,3.75,3.625,SF,0,,False
pre-peak,radius_re,3.5,3.75,3.625,NSF,0,,False
pre-peak,radius_re,3.5,3.75,3.625,ND,0,,False
pre-peak,radius_re,3.75,4.0,3.875,SF,0,,False
pre-peak,radius_re,3.75,4.0,3.875,NSF,0,,False
pre-peak,radius_re,3.75,4.0,3.875,ND,0,,False
pre-peak,radius_re,4.0,4.25,4.125,SF,0,,False
pre-peak,radius_re,4.0,4.25,4.125,NSF,0,,False
pre-peak,radius_re,4.0,4.25,4.125,ND,0,,False
pre-peak,radius_re,4.25,4.5,4.375,SF,0,,False
pre-peak,radius_re,4.25,4.5,4.375,NSF,0,,False
pre-peak,radius_re,4.25,4.5,4.375,ND,0,,False
pre-peak,radius_re,4.5,4.75,4.625,SF,0,,False
pre-peak,radius_re,4.5,4.75,4.625,NSF,0,,False
pre-peak,radius_re,4.5,4.75,4.625,ND,0,,False
pre-peak,radius_re,4.75,5.0,4.875,SF,0,,False
pre-peak,radius_re,4.75,5.0,4.875,NSF,0,,False
pre-peak,radius_re,4.75,5.0,4.875,ND,0,,False
pre-peak,radius_re,5.0,5.25,5.125,SF,0,,False
pre-peak,radius_re,5.0,5.25,5.125,NSF,0,,False
pre-peak,radius_re,5.0,5.25,5.125,ND,0,,False
pre-peak,radius_re,5.25,5.5,5.375,SF,0,,False
pre-peak,radius_re,5.25,5.5,5.375,NSF,0,,False
pre-peak,radius_re,5.25,5.5,5.375,ND,0,,False
pre-peak,radius_re,5.5,5.75,5.625,SF,0,,False
pre-peak,radius_re,5.5,5.75,5.625,NSF,0,,False
pre-peak,radius_re,5.5,5.75,5.625,ND,0,,False
pre-peak,radius_re,5.75,6.0,5.875,SF,0,,False
pre-peak,radius_re,5.75,6.0,5.875,NSF,0,,False
pre-peak,radius_re,5.75,6.0,5.875,ND,0,,False
pre-peak,radius_re,6.0,6.25,6.125,SF,0,,False
pre-peak,radius_re,6.0,6.25,6.125,NSF,0,,False
pre-peak,radius_re,6.0,6.25,6.125,ND,0,,False
pre-peak,radius_re,6.25,6.5,6.375,SF,0,,False
pre-peak,radius_re,6.25,6.5,6.375,NSF,0,,False
pre-peak,radius_re,6.25,6.5,6.375,ND,0,,False
pre-peak,radius_re,6.5,6.75,6.625,SF,0,,False
pre-peak,radius_re,6.5,6.75,6.625,NSF,0,,False
pre-peak,radius_re,6.5,6.75,6.625,ND,0,,False
pre-peak,radius_re,6.75,7.0,6.875,SF,0,,False
pre-peak,radius_re,6.75,7.0,6.875,NSF,0,,False
pre-peak,radius_re,6.75,7.0,6.875,ND,0,,False
pre-peak,radius_re,7.0,7.25,7.125,SF,0,,False
pre-peak,radius_re,7.0,7.25,7.125,NSF,0,,False
pre-peak,radius_re,7.0,7.25,7.125,ND,0,,False
pre-peak,radius_re,7.25,7.5,7.375,SF,0,,False
pre-peak,radius_re,7.25,7.5,7.375,NSF,0,,False
pre-peak,radius_re,7.25,7.5,7.375,ND,0,,False
pre-peak,radius_re,7.5,7.75,7.625,SF,0,,False
pre-peak,radius_re,7.5,7.75,7.625,NSF,0,,False
pre-peak,radius_re,7.5,7.75,7.625,ND,0,,False
pre-peak,radius_re,7.75,8.0,7.875,SF,0,,False
pre-peak,radius_re,7.75,8.0,7.875,NSF,0,,False
pre-peak,radius_re,7.75,8.0,7.875,ND,0,,False
