stage,variable,center,metric,delta,lo,hi,n_target,n_pre,finite_draw_fraction
close-to-peak,log_sigma_star,7.375,HA6562,-0.29063849055240354,-0.35901946011523533,-0.2252335531088926,4,7,0.9997
close-to-peak,log_sigma_star,7.375,HB4861,-0.2906165593124257,-0.3590020443127858,-0.2252327100254928,4,7,0.9997
close-to-peak,log_sigma_star,7.375,OIII5006,-0.21929883322169275,-0.33720457482852395,-0.11058637077526759,4,7,0.9997
close-to-peak,log_sigma_star,7.375,NII6583,-0.1376024141007477,-0.2532946134341222,-0.02435140012048949,4,7,0.9997
close-to-peak,log_sigma_star,7.375,SII_SUM,-0.2439218670164749,-0.3204052299938243,-0.1718166743218555,4,7,0.9997
close-to-peak,log_sigma_star,7.375,F_ND,0.373677508823703,0.21317999699568105,0.605507509027516,5,8,1.0
close-to-peak,log_sigma_star,7.625,O,-0.2520989439023444,-0.5172853540764182,-0.0706770321149282,5,8,0.9997
close-to-peak,log_sigma_star,7.625,I,-0.10765098411439489,-0.20149015928817976,-0.006423343770126213,4,8,0.9997
close-to-peak,log_sigma_star,7.625,T,-0.35974992801673933,-0.6549243910380761,-0.13073834441556978,5,8,0.9997
close-to-peak,log_sigma_star,7.625,F_SF,-0.2520989439023444,-0.5172853540764182,-0.0706770321149282,5,8,0.9997
close-to-peak,log_sigma_star,7.625,F_NSF,-0.27551248000541206,-0.41650316990501146,-0.12477619900308494,5,8,1.0
close-to-peak,log_sigma_star,7.625,I_NSF,-0.3662576718577881,-0.4781521455971349,-0.2632538925225717,5,8,1.0
close-to-peak,log_sigma_star,7.625,J_NSF,-0.6176213766963201,-0.8201697583557496,-0.41825303972632955,5,8,1.0
close-to-peak,log_sigma_star,7.625,HA6562,-0.27811946617536165,-0.42820973245760485,-0.16178376279991993,5,8,1.0
close-to-peak,log_sigma_star,7.625,HB4861,-0.2766225405511875,-0.42448745159665036,-0.1608450180722204,5,8,1.0
