stage,variable,center,metric,value,lo,hi,n_support,zero_draw_fraction,nonfinite_draw_fraction
pre-peak,log_sigma_star,7.375,SII_SUM,1.8026018361390172e+38,1.6151047787398404e+38,1.9927921544269296e+38,7,0.0,0.0
pre-peak,log_sigma_star,7.375,F_ND,0.31037185233434716,0.18305147955917314,0.43511340321797104,8,0.0,0.0
pre-peak,log_sigma_star,7.625,O,0.46018492584640197,0.3732046176402175,0.5477205052579722,8,0.0,0.0
pre-peak,log_sigma_star,7.625,I,0.008832435401829703,0.007129420016225501,0.010290821669197396,8,0.0,0.0
pre-peak,log_sigma_star,7.625,T,0.0040645536304341374,0.0028441834210645865,0.005284670826392187,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_SF,0.46018492584640197,0.3732046176402175,0.5477205052579722,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_NSF,0.312445066165986,0.23205875407733026,0.39537567674972796,8,0.0,0.0
pre-peak,log_sigma_star,7.625,I_NSF,3.5935148224552144e+38,3.073155525624887e+38,4.112524325443906e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,J_NSF,1.1770916315846672e+38,8.124164158050973e+37,1.5298521478888799e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,HA6562,4.95624784918674e+38,4.411394026806083e+38,5.491102107179828e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,HB4861,1.7335045193000115e+38,1.5429756609686726e+38,1.920382566382541e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,OIII5006,1.567017379458599e+38,1.2640604064775698e+38,1.857423233845268e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,NII6583,1.9470054772914046e+38,1.6184072501016627e+38,2.274362079021168e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,SII_SUM,2.4483243644032697e+38,2.2264702936800193e+38,2.670804966096189e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.625,F_ND,0.22737000798761198,0.13566857157252038,0.3173045022962468,8,0.0,0.0
pre-peak,log_sigma_star,7.875,O,0.5371344846610683,0.4701573206983668,0.6063557090659233,8,0.0,0.0
pre-peak,log_sigma_star,7.875,I,0.01582205858846381,0.013076923521400392,0.01833428687619648,8,0.0,0.0
pre-peak,log_sigma_star,7.875,T,0.008498573286191738,0.006488694570150463,0.010526389464109175,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_SF,0.5371344846610683,0.4701573206983668,0.6063557090659233,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_NSF,0.3435502967190606,0.2786698643394081,0.41028104279514066,8,0.0,0.0
pre-peak,log_sigma_star,7.875,I_NSF,5.249028959264501e+38,4.469536395522816e+38,6.0310774372429014e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,J_NSF,1.9267439109047442e+38,1.283911441781787e+38,2.567166233064197e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,HA6562,6.371409280048827e+38,5.695217644416713e+38,7.037514506265192e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,HB4861,2.2280979267617144e+38,1.991612368885986e+38,2.4608360676252334e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,OIII5006,1.8834828574246106e+38,1.5265438650371605e+38,2.2349879703411343e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,NII6583,2.5512071039694963e+38,2.1958740987343662e+38,2.9099271447100967e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,SII_SUM,3.139161237887273e+38,2.8322256858706688e+38,3.4514027570254655e+38,8,0.0,0.0
pre-peak,log_sigma_star,7.875,F_ND,0.1193152186198711,0.058803369662419905,0.1785174511818138,8,0.0,0.0
pre-peak,log_sigma_star,8.125,O,0.5874760401162127,0.5272571614734797,0.6490836062005827,8,0.0,0.0
pre-peak,log_sigma_star,8.125,I,0.02516194842659815,0.020902812921917903,0.029195236291715037,8,0.0,0.0
pre-peak,log_sigma_star,8.125,T,0.01478204182326625,0.011583234315596502,0.017970259073932963,8,0.0,0.0
pre-peak,log_sigma_star,8.125,F_SF,0.5874760401162127,0.5272571614734797,0.6490836062005827,8,0.0,0.0
