stage,f_SF,f_ND,f_NSF,N_galaxies
close-to-peak,0.2510297674858129,0.5094899299227242,0.23948030259146283,5
post-peak,0.06624309135417751,0.7274687502076774,0.20628815843814502,13
pre-peak,0.3880227471786729,0.31191140170735027,0.3000658511139768,8
