GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4424,close-to-peak,radius_re,0.25,0.5,0.375,8820,5012,16,3792
NGC4424,close-to-peak,radius_re,0.5,0.75,0.625,14677,1088,2245,11344
NGC4424,close-to-peak,radius_re,0.75,1.0,0.875,20558,119,9528,10911
NGC4424,close-to-peak,radius_re,1.0,1.25,1.125,26429,0,19098,7331
NGC4424,close-to-peak,radius_re,1.25,1.5,1.375,31889,0,28125,3764
NGC4424,close-to-peak,radius_re,1.5,1.75,1.625,25616,0,25155,461
NGC4424,close-to-peak,radius_re,1.75,2.0,1.875,10783,0,10734,49
NGC4424,close-to-peak,radius_re,2.0,2.25,2.125,2749,0,2749,0
NGC4424,close-to-peak,radius_re,2.25,2.5,2.375,66,0,66,0
NGC4424,close-to-peak,radius_re,2.5,2.75,2.625,0,0,0,0
NGC4424,close-to-peak,radius_re,2.75,3.0,2.875,0,0,0,0
NGC4424,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4424,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4424,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4424,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4424,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4424,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4424,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4424,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4424,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4424,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4424,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4424,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4424,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4424,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4424,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4424,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4424,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4424,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4424,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4424,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,7.0,7.25,7.125,2232,82,2042,108
NGC4501,close-to-peak,log_sigma_star,7.25,7.5,7.375,14173,1006,11359,1808
NGC4501,close-to-peak,log_sigma_star,7.5,7.75,7.625,57181,11147,35721,10313
NGC4501,close-to-peak,log_sigma_star,7.75,8.0,7.875,146892,45894,55702,45296
NGC4501,close-to-peak,log_sigma_star,8.0,8.25,8.125,171345,68606,24094,78645
NGC4501,close-to-peak,log_sigma_star,8.25,8.5,8.375,105525,55139,5527,44859
NGC4501,close-to-peak,log_sigma_star,8.5,8.75,8.625,73107,45149,94,27864
NGC4501,close-to-peak,log_sigma_star,8.75,9.0,8.875,48266,23257,203,24806
NGC4501,close-to-peak,log_sigma_star,9.0,9.25,9.125,20067,1274,1037,17756
NGC4501,close-to-peak,log_sigma_star,9.25,9.5,9.375,6902,53,884,5965
NGC4501,close-to-peak,log_sigma_star,9.5,9.75,9.625,3104,0,330,2774
NGC4501,close-to-peak,log_sigma_star,9.75,10.0,9.875,1175,0,8,1167
NGC4501,close-to-peak,log_sigma_star,10.0,10.25,10.125,420,0,0,420
NGC4501,close-to-peak,log_sigma_star,10.25,10.5,10.375,119,0,0,119
NGC4501,close-to-peak,log_sigma_star,10.5,10.75,10.625,51,0,0,51
NGC4501,close-to-peak,log_sigma_star,10.75,11.0,10.875,17,0,0,17
NGC4501,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4501,close-to-peak,radius_re,0.0,0.25,0.125,8951,44,841,8066
NGC4501,close-to-peak,radius_re,0.25,0.5,0.375,26850,1849,1597,23404
NGC4501,close-to-peak,radius_re,0.5,0.75,0.625,44746,24411,14,20321
NGC4501,close-to-peak,radius_re,0.75,1.0,0.875,62614,34465,54,28095
NGC4501,close-to-peak,radius_re,1.0,1.25,1.125,80520,49189,2213,29118
NGC4501,close-to-peak,radius_re,1.25,1.5,1.375,98326,39953,9488,48885
NGC4501,close-to-peak,radius_re,1.5,1.75,1.625,116281,46780,15082,54419
NGC4501,close-to-peak,radius_re,1.75,2.0,1.875,108305,43158,31321,33826
NGC4501,close-to-peak,radius_re,2.0,2.25,2.125,68411,10243,45996,12172
NGC4501,close-to-peak,radius_re,2.25,2.5,2.375,30793,1447,25910,3436
NGC4501,close-to-peak,radius_re,2.5,2.75,2.625,4612,68,4318,226
NGC4501,close-to-peak,radius_re,2.75,3.0,2.875,167,0,167,0
NGC4501,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4501,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4501,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4501,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4501,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4501,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4501,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4501,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4501,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4501,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4501,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4501,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4501,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4501,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4501,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4501,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4501,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4501,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4501,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4501,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,6.5,6.75,6.625,2090,1655,435,0
NGC4654,close-to-peak,log_sigma_star,6.75,7.0,6.875,17548,9943,5415,2190
NGC4654,close-to-peak,log_sigma_star,7.0,7.25,7.125,79681,31399,34222,14060
NGC4654,close-to-peak,log_sigma_star,7.25,7.5,7.375,139298,65136,41459,32703
NGC4654,close-to-peak,log_sigma_star,7.5,7.75,7.625,128565,77694,12058,38813
NGC4654,close-to-peak,log_sigma_star,7.75,8.0,7.875,80423,64198,604,15621
NGC4654,close-to-peak,log_sigma_star,8.0,8.25,8.125,47077,41517,64,5496
NGC4654,close-to-peak,log_sigma_star,8.25,8.5,8.375,26077,21164,0,4913
NGC4654,close-to-peak,log_sigma_star,8.5,8.75,8.625,9202,6413,0,2789
NGC4654,close-to-peak,log_sigma_star,8.75,9.0,8.875,2568,1560,0,1008
NGC4654,close-to-peak,log_sigma_star,9.0,9.25,9.125,316,102,0,214
NGC4654,close-to-peak,log_sigma_star,9.25,9.5,9.375,32,0,0,32
NGC4654,close-to-peak,log_sigma_star,9.5,9.75,9.625,5,0,0,5
NGC4654,close-to-peak,log_sigma_star,9.75,10.0,9.875,1,0,0,1
NGC4654,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4654,close-to-peak,radius_re,0.0,0.25,0.125,10080,6633,0,3447
NGC4654,close-to-peak,radius_re,0.25,0.5,0.375,30249,23241,0,7008
NGC4654,close-to-peak,radius_re,0.5,0.75,0.625,50421,45590,0,4831
NGC4654,close-to-peak,radius_re,0.75,1.0,0.875,70582,52335,167,18080
NGC4654,close-to-peak,radius_re,1.0,1.25,1.125,90513,55570,4619,30324
NGC4654,close-to-peak,radius_re,1.25,1.5,1.375,109794,66674,15006,28114
NGC4654,close-to-peak,radius_re,1.5,1.75,1.625,107272,46258,38783,22231
NGC4654,close-to-peak,radius_re,1.75,2.0,1.875,56493,21871,31083,3539
NGC4654,close-to-peak,radius_re,2.0,2.25,2.125,7479,2609,4599,271
NGC4654,close-to-peak,radius_re,2.25,2.5,2.375,0,0,0,0
NGC4654,close-to-peak,radius_re,2.5,2.75,2.625,0,0,0,0
NGC4654,close-to-peak,radius_re,2.75,3.0,2.875,0,0,0,0
NGC4654,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4654,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4654,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4654,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4654,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4654,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4654,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4654,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4654,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4654,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4654,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4654,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4654,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4654,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4654,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4654,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4654,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4654,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4654,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4654,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,7.0,7.25,7.125,485,0,485,0
NGC4694,close-to-peak,log_sigma_star,7.25,7.5,7.375,6976,0,6976,0
NGC4694,close-to-peak,log_sigma_star,7.5,7.75,7.625,20119,0,18961,1158
NGC4694,close-to-peak,log_sigma_star,7.75,8.0,7.875,19165,0,13985,5180
NGC4694,close-to-peak,log_sigma_star,8.0,8.25,8.125,16832,27,8640,8165
NGC4694,close-to-peak,log_sigma_star,8.25,8.5,8.375,10923,126,4040,6757
NGC4694,close-to-peak,log_sigma_star,8.5,8.75,8.625,5755,287,766,4702
NGC4694,close-to-peak,log_sigma_star,8.75,9.0,8.875,2343,310,42,1991
NGC4694,close-to-peak,log_sigma_star,9.0,9.25,9.125,466,290,0,176
NGC4694,close-to-peak,log_sigma_star,9.25,9.5,9.375,26,18,0,8
NGC4694,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4694,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4694,close-to-peak,radius_re,0.0,0.25,0.125,1247,550,0,697
NGC4694,close-to-peak,radius_re,0.25,0.5,0.375,3735,143,160,3432
NGC4694,close-to-peak,radius_re,0.5,0.75,0.625,6228,345,840,5043
NGC4694,close-to-peak,radius_re,0.75,1.0,0.875,8721,0,3113,5608
NGC4694,close-to-peak,radius_re,1.0,1.25,1.125,11193,20,4830,6343
NGC4694,close-to-peak,radius_re,1.25,1.5,1.375,11651,0,7234,4417
NGC4694,close-to-peak,radius_re,1.5,1.75,1.625,10307,0,8776,1531
NGC4694,close-to-peak,radius_re,1.75,2.0,1.875,9654,0,9035,619
