curve_set,stage,inner_baseline_f_SF,peak_f_SF,peak_radius_Re,R_at_half_inner_baseline,R_at_f_SF_0p1,N_supported_bins
uncut_equal,close-to-peak,0.4811561920234448,0.5298090953708646,0.125,1.4756675204880192,1.9988722225361233,12
uncut_equal,post-peak,0.24649601320240674,0.24813950416456845,0.375,0.9519805360081106,1.031162417929337,12
uncut_equal,pre-peak,0.5604654303729585,0.5899279014070777,0.625,2.000567503018454,,12
snr25_equal,close-to-peak,0.481139148932163,0.5298090953708646,0.125,1.626498861137223,2.1815308675723113,10
snr25_equal,post-peak,0.24650230333486658,0.24813604618622526,0.375,0.9494581792579039,1.0263920354245355,11
snr25_equal,pre-peak,0.5609112975465047,0.5911150947585595,0.625,2.1627717434555276,,11
