stage,f_SF,f_ND,f_NSF,N_galaxies
close-to-peak,0.3316797344332887,0.3864606930004325,0.2818595725662788,5
post-peak,0.10066424637865994,0.6277267227673705,0.2716090308539695,13
pre-peak,0.49358426498162356,0.13738277570930185,0.3690329593090746,8
