stage,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
close-to-peak,1643790,720842,434083,488865,5,0.4385243857183703,0.26407448640033093,0.2974011278812987
post-peak,2825159,222427,1786845,815887,13,0.07873079001925201,0.6324759066657841,0.2887933033149639
pre-peak,2703316,1420915,353297,929104,8,0.5256192764737826,0.13069023377215241,0.343690489754065
