stage,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
close-to-peak,2089106,751181,838896,499029,5,0.35957055314569963,0.4015574125965844,0.23887203425771597
post-peak,3703758,232186,2643837,827735,13,0.0626893009748477,0.7138255253177989,0.22348517370735346
pre-peak,3812578,1746860,931532,1134186,8,0.4581834129032901,0.24433126351775622,0.2974853235789537
