stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF,N_galaxies,f_SF,f_ND,f_NSF
post-peak,log_sigma_star,7.5,7.75,7.625,447605,17977,400297,29331,13,0.04016264340210677,0.8943085979825962,0.06552875861529697
post-peak,log_sigma_star,7.75,8.0,7.875,840619,50895,681496,108228,13,0.06054467005861157,0.8107073477996571,0.12874798214173128
post-peak,log_sigma_star,8.0,8.25,8.125,659916,53966,400868,205082,13,0.08177707465798677,0.6074530697846393,0.31076985555737396
post-peak,log_sigma_star,8.25,8.5,8.375,389692,57612,128564,203516,13,0.1478398324830892,0.32991182780246964,0.5222483397144412
post-peak,log_sigma_star,8.5,8.75,8.625,200243,31563,35001,133679,13,0.15762348746273278,0.17479262695824574,0.6675838855790215
post-peak,log_sigma_star,8.75,9.0,8.875,90178,7066,12781,70331,13,0.07835614007851138,0.14173079908625164,0.7799130608352369
post-peak,log_sigma_star,9.0,9.25,9.125,38898,914,4614,33370,13,0.023497352048948532,0.11861792380070955,0.8578847241503419
post-peak,log_sigma_star,9.25,9.5,9.375,16361,60,1354,14947,13,0.0036672575025976407,0.08275777764195343,0.913574964855449
post-peak,log_sigma_star,9.5,9.75,9.625,5866,1,285,5580,10,0.00017047391749062393,0.04858506648482782,0.9512444595976816
post-peak,log_sigma_star,9.75,10.0,9.875,2457,0,28,2429,8,0.0,0.011396011396011397,0.9886039886039886
post-peak,log_sigma_star,10.0,10.25,10.125,1015,0,2,1013,8,0.0,0.0019704433497536944,0.9980295566502463
post-peak,log_sigma_star,10.25,10.5,10.375,396,0,0,396,7,0.0,0.0,1.0
post-peak,log_sigma_star,10.5,10.75,10.625,121,0,0,121,4,0.0,0.0,1.0
post-peak,log_sigma_star,10.75,11.0,10.875,35,0,0,35,3,,,
post-peak,log_sigma_star,11.0,11.25,11.125,1,0,0,1,1,,,
post-peak,radius_re,0.0,0.25,0.125,73153,8736,7557,56860,13,0.1194209396743811,0.10330403401090864,0.7772750263147102
post-peak,radius_re,0.25,0.5,0.375,219645,32345,51294,136006,13,0.14726035193152587,0.23353138018165676,0.6192082678868174
post-peak,radius_re,0.5,0.75,0.625,365132,57932,151052,156148,13,0.1586604296528379,0.4136914869143214,0.4276480834328407
post-peak,radius_re,0.75,1.0,0.875,459799,52622,250459,156718,13,0.11444565995141355,0.5447141033364579,0.34084023671212854
post-peak,radius_re,1.0,1.25,1.125,497062,39586,355845,101631,13,0.07963996443099654,0.7158966084713778,0.20446342709762566
post-peak,radius_re,1.25,1.5,1.375,430527,13518,356261,60748,13,0.031398727605934124,0.8274997851470407,0.14110148724702515
post-peak,radius_re,1.5,1.75,1.625,284772,12062,223480,49230,12,0.04235669237144101,0.7847681654095205,0.17287514221903838
post-peak,radius_re,1.75,2.0,1.875,183035,4103,141203,37729,10,0.022416477722839893,0.7714535471357937,0.2061299751413664
post-peak,radius_re,2.0,2.25,2.125,98684,1027,72150,25507,8,0.010406955534838475,0.7311215597259941,0.2584714847391674
post-peak,radius_re,2.25,2.5,2.375,55705,496,39150,16059,5,0.008904048110582532,0.7028094425994076,0.2882865092900099
post-peak,radius_re,2.5,2.75,2.625,45727,0,35845,9882,4,0.0,0.7838913552168303,0.21610864478316968
post-peak,radius_re,2.75,3.0,2.875,38751,0,33060,5691,2,0.0,0.8531392738251916,0.1468607261748084
post-peak,radius_re,3.0,3.25,3.125,33496,0,31097,2399,2,0.0,0.9283795080009554,0.07162049199904466
post-peak,radius_re,3.25,3.5,3.375,23204,0,22634,570,2,0.0,0.9754352697810722,0.02456473021892777
post-peak,radius_re,3.5,3.75,3.625,10384,0,9899,485,2,0.0,0.953293528505393,0.04670647149460709
post-peak,radius_re,3.75,4.0,3.875,3376,0,3191,185,2,0.0,0.9452014218009479,0.05479857819905213
post-peak,radius_re,4.0,4.25,4.125,1329,0,1290,39,2,0.0,0.9706546275395034,0.029345372460496615
post-peak,radius_re,4.25,4.5,4.375,1305,0,1305,0,1,0.0,1.0,0.0
post-peak,radius_re,4.5,4.75,4.625,73,0,73,0,1,0.0,1.0,0.0
post-peak,radius_re,4.75,5.0,4.875,0,0,0,0,0,,,
post-peak,radius_re,5.0,5.25,5.125,0,0,0,0,0,,,
post-peak,radius_re,5.25,5.5,5.375,0,0,0,0,0,,,
post-peak,radius_re,5.5,5.75,5.625,0,0,0,0,0,,,
post-peak,radius_re,5.75,6.0,5.875,0,0,0,0,0,,,
post-peak,radius_re,6.0,6.25,6.125,0,0,0,0,0,,,
post-peak,radius_re,6.25,6.5,6.375,0,0,0,0,0,,,
post-peak,radius_re,6.5,6.75,6.625,0,0,0,0,0,,,
post-peak,radius_re,6.75,7.0,6.875,0,0,0,0,0,,,
post-peak,radius_re,7.0,7.25,7.125,0,0,0,0,0,,,
post-peak,radius_re,7.25,7.5,7.375,0,0,0,0,0,,,
post-peak,radius_re,7.5,7.75,7.625,0,0,0,0,0,,,
post-peak,radius_re,7.75,8.0,7.875,0,0,0,0,0,,,
pre-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
pre-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0,0,,,
pre-peak,log_sigma_star,6.25,6.5,6.375,443,0,0,443,1,0.0,0.0,1.0
pre-peak,log_sigma_star,6.5,6.75,6.625,1376,369,0,1007,2,0.26816860465116277,0.0,0.7318313953488372
pre-peak,log_sigma_star,6.75,7.0,6.875,21860,6759,4820,10281,3,0.30919487648673377,0.22049405306495884,0.4703110704483074
pre-peak,log_sigma_star,7.0,7.25,7.125,60705,29160,4907,26638,5,0.48035581912527797,0.08083353924717898,0.438810641627543
pre-peak,log_sigma_star,7.25,7.5,7.375,167362,92952,28784,45626,8,0.5553948925084548,0.17198647243699286,0.2726186350545524
pre-peak,log_sigma_star,7.5,7.75,7.625,419725,224142,80463,115120,8,0.5340210852343796,0.19170409196497706,0.2742748228006433
pre-peak,log_sigma_star,7.75,8.0,7.875,738692,379606,126731,232355,8,0.5138894153449611,0.17156135439398287,0.314549230261056
pre-peak,log_sigma_star,8.0,8.25,8.125,681067,357961,81220,241886,8,0.5255885250643476,0.11925405283180657,0.3551574221038459
pre-peak,log_sigma_star,8.25,8.5,8.375,367286,188776,22847,155663,8,0.5139754850443523,0.06220493021786836,0.42381958473777925
pre-peak,log_sigma_star,8.5,8.75,8.625,155197,82955,3386,68856,8,0.5345141980837258,0.021817432037990424,0.44366836987828373
pre-peak,log_sigma_star,8.75,9.0,8.875,57868,37968,139,19761,7,0.6561139144259349,0.002402018386673118,0.341484067187392
pre-peak,log_sigma_star,9.0,9.25,9.125,20837,15013,0,5824,6,0.720497192494121,0.0,0.27950280750587897
pre-peak,log_sigma_star,9.25,9.5,9.375,7514,4279,0,3235,6,0.5694703220654778,0.0,0.43052967793452224
pre-peak,log_sigma_star,9.5,9.75,9.625,2411,856,0,1555,6,0.3550394027374533,0.0,0.6449605972625466
pre-peak,log_sigma_star,9.75,10.0,9.875,693,98,0,595,5,0.1414141414141414,0.0,0.8585858585858586
pre-peak,log_sigma_star,10.0,10.25,10.125,193,19,0,174,4,0.09844559585492228,0.0,0.9015544041450777
pre-peak,log_sigma_star,10.25,10.5,10.375,71,2,0,69,3,0.028169014084507043,0.0,0.971830985915493
pre-peak,log_sigma_star,10.5,10.75,10.625,15,0,0,15,3,,,
pre-peak,log_sigma_star,10.75,11.0,10.875,1,0,0,1,1,,,
pre-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0,0,,,
pre-peak,radius_re,0.0,0.25,0.125,104470,35570,1517,67383,8,0.3404805207236527,0.014520915095242653,0.6449985641811046
pre-peak,radius_re,0.25,0.5,0.375,310717,134439,30870,145408,8,0.4326734617030932,0.09935085624539372,0.46797568205151313
pre-peak,radius_re,0.5,0.75,0.625,502275,277751,37903,186621,8,0.5529859140908865,0.0754626449654074,0.3715514409437061
pre-peak,radius_re,0.75,1.0,0.875,590715,285398,105021,200296,8,0.48313992365184566,0.17778624209644245,0.3390738342517119
pre-peak,radius_re,1.0,1.25,1.125,431942,234568,76990,120384,8,0.5430543915618301,0.1782415231674623,0.27870408527070767
pre-peak,radius_re,1.25,1.5,1.375,269379,163747,41228,64404,8,0.6078684678464171,0.15304830740332395,0.23908322475025892
pre-peak,radius_re,1.5,1.75,1.625,180487,102666,32679,45142,7,0.5688276717990769,0.1810601317546416,0.25011219644628147
pre-peak,radius_re,1.75,2.0,1.875,133846,75164,17703,40979,6,0.5615707604261614,0.13226394513097142,0.30616529444286716
pre-peak,radius_re,2.0,2.25,2.125,89398,52231,6187,30980,4,0.5842524441262668,0.06920736481800488,0.3465401910557283
pre-peak,radius_re,2.25,2.5,2.375,52201,31839,1692,18670,4,0.6099308442367004,0.03241317216145285,0.3576559836018467
pre-peak,radius_re,2.5,2.75,2.625,21459,14618,1008,5833,3,0.6812060207838203,0.046973297916957917,0.27182068129922177
pre-peak,radius_re,2.75,3.0,2.875,11616,9551,499,1566,2,0.8222279614325069,0.042957988980716254,0.13481404958677687
pre-peak,radius_re,3.0,3.25,3.125,4759,3321,0,1438,2,0.6978356797646564,0.0,0.30216432023534356
pre-peak,radius_re,3.25,3.5,3.375,52,52,0,0,1,1.0,0.0,0.0
pre-peak,radius_re,3.5,3.75,3.625,0,0,0,0,0,,,
pre-peak,radius_re,3.75,4.0,3.875,0,0,0,0,0,,,
pre-peak,radius_re,4.0,4.25,4.125,0,0,0,0,0,,,
pre-peak,radius_re,4.25,4.5,4.375,0,0,0,0,0,,,
pre-peak,radius_re,4.5,4.75,4.625,0,0,0,0,0,,,
pre-peak,radius_re,4.75,5.0,4.875,0,0,0,0,0,,,
pre-peak,radius_re,5.0,5.25,5.125,0,0,0,0,0,,,
pre-peak,radius_re,5.25,5.5,5.375,0,0,0,0,0,,,
pre-peak,radius_re,5.5,5.75,5.625,0,0,0,0,0,,,
pre-peak,radius_re,5.75,6.0,5.875,0,0,0,0,0,,,
pre-peak,radius_re,6.0,6.25,6.125,0,0,0,0,0,,,
pre-peak,radius_re,6.25,6.5,6.375,0,0,0,0,0,,,
pre-peak,radius_re,6.5,6.75,6.625,0,0,0,0,0,,,
pre-peak,radius_re,6.75,7.0,6.875,0,0,0,0,0,,,
pre-peak,radius_re,7.0,7.25,7.125,0,0,0,0,0,,,
pre-peak,radius_re,7.25,7.5,7.375,0,0,0,0,0,,,
pre-peak,radius_re,7.5,7.75,7.625,0,0,0,0,0,,,
pre-peak,radius_re,7.75,8.0,7.875,0,0,0,0,0,,,
all stages,log_sigma_star,5.75,6.0,5.875,0,0,0,0,0,,,
all stages,log_sigma_star,6.0,6.25,6.125,0,0,0,0,0,,,
all stages,log_sigma_star,6.25,6.5,6.375,443,0,0,443,1,0.0,0.0,1.0
all stages,log_sigma_star,6.5,6.75,6.625,3466,2024,435,1007,3,0.5839584535487594,0.12550490478938256,0.29053664166185805
all stages,log_sigma_star,6.75,7.0,6.875,39524,16702,10351,12471,5,0.42257868636777657,0.26189150895658336,0.3155298046756401
all stages,log_sigma_star,7.0,7.25,7.125,156598,60873,53875,41850,15,0.3887214396097013,0.34403376799192836,0.26724479239837035
all stages,log_sigma_star,7.25,7.5,7.375,495891,168693,236908,90290,25,0.3401816124914548,0.4777420844500102,0.18207630305853503
all stages,log_sigma_star,7.5,7.75,7.625,1190153,361673,617058,211422,26,0.3038878194652284,0.5184694740928267,0.17764270644194485
all stages,log_sigma_star,7.75,8.0,7.875,1938862,588301,912918,437643,26,0.30342592716758593,0.4708524897594568,0.22572158307295723
all stages,log_sigma_star,8.0,8.25,8.125,1637140,557590,520613,558937,26,0.3405878544290653,0.31800151483684963,0.34141063073408506
all stages,log_sigma_star,8.25,8.5,8.375,924804,341308,161113,422383,26,0.3690598224056124,0.17421313056604426,0.4567270470283433
