stage,N,mean,median,N_negative,fraction_negative
close-to-peak,5,-0.14069052330749282,-0.19140649939347507,4,0.8
post-peak,13,-0.14198246535059178,-0.03802321123619001,9,0.6923076923076923
pre-peak,8,-0.06034187101279555,-0.09873099412420733,5,0.625
