stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
post-peak,log_sigma_star,9.5,9.75,9.625,8,5894,0.0,0.047692262783058686,0.9523077372169413
post-peak,log_sigma_star,9.75,10.0,9.875,7,2441,0.0,0.009481908898000125,0.9905180911019998
post-peak,log_sigma_star,6.5,6.75,6.625,3,27988,0.0,1.0,0.0
post-peak,log_sigma_star,10.0,10.25,10.125,6,988,0.0,0.0013774104683195593,0.9986225895316805
post-peak,log_sigma_star,10.25,10.5,10.375,4,351,0.0,0.0,1.0
post-peak,radius_re,3.25,3.5,3.375,4,60184,0.0,0.9862796443145694,0.013720355685430698
post-peak,radius_re,3.5,3.75,3.625,4,41248,0.0,0.9872769429442453,0.01272305705575474
post-peak,radius_re,3.75,4.0,3.875,3,28882,0.0,0.986025931837912,0.013974068162087988
post-peak,radius_re,4.0,4.25,4.125,3,18793,0.0,0.9906781279847182,0.009321872015281757
post-peak,radius_re,4.25,4.5,4.375,2,10701,0.0,1.0,0.0
post-peak,radius_re,4.5,4.75,4.625,2,7104,0.0,1.0,0.0
post-peak,radius_re,4.75,5.0,4.875,2,4608,0.0,1.0,0.0
post-peak,radius_re,5.0,5.25,5.125,2,2381,0.0,1.0,0.0
post-peak,radius_re,5.25,5.5,5.375,2,916,0.0,1.0,0.0
post-peak,radius_re,5.5,5.75,5.625,1,263,0.0,1.0,0.0
post-peak,log_sigma_star,10.5,10.75,10.625,1,56,0.0,0.0,1.0
pre-peak,log_sigma_star,6.75,7.0,6.875,6,169030,0.11901298569123135,0.734674865626657,0.14631214868211165
pre-peak,log_sigma_star,7.0,7.25,7.125,8,246035,0.2769392176840812,0.5397714349529523,0.18328934736296643
pre-peak,log_sigma_star,7.25,7.5,7.375,8,383899,0.35567629387779814,0.4241554423422304,0.22016826377997145
pre-peak,log_sigma_star,7.5,7.75,7.625,8,631280,0.41590824812262644,0.302717456194878,0.2813742956824956
pre-peak,log_sigma_star,7.75,8.0,7.875,8,849332,0.5331398490172958,0.12707808458123077,0.3397820664014734
pre-peak,log_sigma_star,8.0,8.25,8.125,8,703661,0.5870292538516787,0.07036654842365037,0.342604197724671
pre-peak,log_sigma_star,8.25,8.5,8.375,8,371225,0.5768012502993556,0.061718154575535616,0.3614805951251087
pre-peak,log_sigma_star,8.5,8.75,8.625,7,155783,0.49869721149012214,0.03309233418367196,0.4682104543262059
pre-peak,log_sigma_star,8.75,9.0,8.875,6,57956,0.4574404530801159,0.004986411064645173,0.537573135855239
pre-peak,log_sigma_star,9.0,9.25,9.125,6,20949,0.4938233280386493,0.02389568204663169,0.48228098991471896
