stage,variable,bin_left,bin_right,center,N_galaxies,N_valid,f_SF,f_ND,f_NSF
post-peak,radius_re,3.25,3.5,3.375,2,23204,0.0,0.9738118135180149,0.026188186481985006
post-peak,radius_re,3.5,3.75,3.625,2,10384,0.0,0.9411761572595669,0.058823842740433056
post-peak,radius_re,3.75,4.0,3.875,2,3376,0.0,0.7716049382716049,0.22839506172839505
post-peak,log_sigma_star,10.5,10.75,10.625,1,56,0.0,0.0,1.0
post-peak,radius_re,4.0,4.25,4.125,1,1290,0.0,1.0,0.0
post-peak,radius_re,4.25,4.5,4.375,1,1305,0.0,1.0,0.0
post-peak,radius_re,4.5,4.75,4.625,1,73,0.0,1.0,0.0
pre-peak,log_sigma_star,7.0,7.25,7.125,5,60705,0.451148137427551,0.1618982355590542,0.38695362701339486
pre-peak,log_sigma_star,7.25,7.5,7.375,8,167362,0.4280052611637158,0.3103718523343472,0.261622886501937
pre-peak,log_sigma_star,7.5,7.75,7.625,8,419725,0.46018492584640197,0.22737000798761198,0.312445066165986
pre-peak,log_sigma_star,7.75,8.0,7.875,8,738692,0.5371344846610683,0.11931521861987113,0.3435502967190607
pre-peak,log_sigma_star,8.0,8.25,8.125,8,681067,0.5874760401162127,0.06967232914617093,0.3428516307376164
pre-peak,log_sigma_star,8.25,8.5,8.375,8,367286,0.5792719807425191,0.05418912840604578,0.3665388908514352
pre-peak,log_sigma_star,8.5,8.75,8.625,7,155162,0.49856635388581955,0.03274694629185042,0.46868669982232997
pre-peak,log_sigma_star,8.75,9.0,8.875,6,57865,0.4584053270021695,0.005002366046537348,0.5365923069512931
pre-peak,log_sigma_star,9.0,9.25,9.125,6,20837,0.49580526858757007,0.0,0.5041947314124299
pre-peak,log_sigma_star,9.25,9.5,9.375,6,7514,0.4259749194327956,0.0,0.5740250805672044
pre-peak,radius_re,0.0,0.25,0.125,8,104470,0.5154533149862964,0.01234484382925257,0.472201841184451
pre-peak,radius_re,0.25,0.5,0.375,8,310717,0.5761654828946581,0.06439661004060324,0.35943790706473866
pre-peak,radius_re,0.5,0.75,0.625,8,502275,0.5911150947585595,0.04861569278492375,0.36026921245651666
pre-peak,radius_re,0.75,1.0,0.875,8,590715,0.5546207017856468,0.11682032692625227,0.3285589712881009
pre-peak,radius_re,1.0,1.25,1.125,8,431942,0.5331573977894409,0.17774940876421672,0.2890931934463423
