GALID,stage,variable,bin_left,bin_right,center,N_valid,N_SF,N_ND,N_NSF
NGC4298,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4298,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4298,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4298,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4298,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4298,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4298,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4298,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4298,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4298,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4298,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4298,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4298,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4298,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4298,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4298,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4298,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4298,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4298,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,6.75,7.0,6.875,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,7.0,7.25,7.125,5193,0,5100,93
NGC4424,close-to-peak,log_sigma_star,7.25,7.5,7.375,40413,0,37593,2820
NGC4424,close-to-peak,log_sigma_star,7.5,7.75,7.625,60057,24,50697,9336
NGC4424,close-to-peak,log_sigma_star,7.75,8.0,7.875,40603,434,25896,14273
NGC4424,close-to-peak,log_sigma_star,8.0,8.25,8.125,17523,2629,5173,9721
NGC4424,close-to-peak,log_sigma_star,8.25,8.5,8.375,6587,3852,135,2600
NGC4424,close-to-peak,log_sigma_star,8.5,8.75,8.625,1966,1836,0,130
NGC4424,close-to-peak,log_sigma_star,8.75,9.0,8.875,218,218,0,0
NGC4424,close-to-peak,log_sigma_star,9.0,9.25,9.125,1,1,0,0
NGC4424,close-to-peak,log_sigma_star,9.25,9.5,9.375,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,9.5,9.75,9.625,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,9.75,10.0,9.875,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4424,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4424,close-to-peak,radius_re,0.0,0.25,0.125,2934,2775,0,159
NGC4424,close-to-peak,radius_re,0.25,0.5,0.375,8820,5012,16,3792
NGC4424,close-to-peak,radius_re,0.5,0.75,0.625,14677,1088,2245,11344
NGC4424,close-to-peak,radius_re,0.75,1.0,0.875,20558,119,9528,10911
NGC4424,close-to-peak,radius_re,1.0,1.25,1.125,26429,0,19098,7331
NGC4424,close-to-peak,radius_re,1.25,1.5,1.375,32315,0,28351,3964
NGC4424,close-to-peak,radius_re,1.5,1.75,1.625,33881,0,32625,1256
NGC4424,close-to-peak,radius_re,1.75,2.0,1.875,21419,0,21203,216
NGC4424,close-to-peak,radius_re,2.0,2.25,2.125,9247,0,9247,0
NGC4424,close-to-peak,radius_re,2.25,2.5,2.375,2260,0,2260,0
NGC4424,close-to-peak,radius_re,2.5,2.75,2.625,21,0,21,0
NGC4424,close-to-peak,radius_re,2.75,3.0,2.875,0,0,0,0
NGC4424,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4424,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4424,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4424,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4424,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4424,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4424,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4424,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4424,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4424,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4424,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4424,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4424,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4424,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4424,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4424,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4424,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4424,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4424,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4424,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.0,6.25,6.125,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.25,6.5,6.375,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.5,6.75,6.625,0,0,0,0
NGC4501,close-to-peak,log_sigma_star,6.75,7.0,6.875,1539,0,1539,0
NGC4501,close-to-peak,log_sigma_star,7.0,7.25,7.125,6138,82,5486,570
NGC4501,close-to-peak,log_sigma_star,7.25,7.5,7.375,18788,1006,15815,1967
NGC4501,close-to-peak,log_sigma_star,7.5,7.75,7.625,58168,11147,36451,10570
NGC4501,close-to-peak,log_sigma_star,7.75,8.0,7.875,149119,46223,57199,45697
NGC4501,close-to-peak,log_sigma_star,8.0,8.25,8.125,171731,68606,24267,78858
NGC4501,close-to-peak,log_sigma_star,8.25,8.5,8.375,105525,55139,5527,44859
NGC4501,close-to-peak,log_sigma_star,8.5,8.75,8.625,73107,45149,94,27864
NGC4501,close-to-peak,log_sigma_star,8.75,9.0,8.875,48266,23257,203,24806
NGC4501,close-to-peak,log_sigma_star,9.0,9.25,9.125,20067,1274,1037,17756
NGC4501,close-to-peak,log_sigma_star,9.25,9.5,9.375,6902,53,884,5965
NGC4501,close-to-peak,log_sigma_star,9.5,9.75,9.625,3104,0,330,2774
NGC4501,close-to-peak,log_sigma_star,9.75,10.0,9.875,1175,0,8,1167
NGC4501,close-to-peak,log_sigma_star,10.0,10.25,10.125,420,0,0,420
NGC4501,close-to-peak,log_sigma_star,10.25,10.5,10.375,119,0,0,119
NGC4501,close-to-peak,log_sigma_star,10.5,10.75,10.625,51,0,0,51
NGC4501,close-to-peak,log_sigma_star,10.75,11.0,10.875,17,0,0,17
NGC4501,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4501,close-to-peak,radius_re,0.0,0.25,0.125,8951,44,841,8066
NGC4501,close-to-peak,radius_re,0.25,0.5,0.375,26850,1849,1597,23404
NGC4501,close-to-peak,radius_re,0.5,0.75,0.625,44746,24411,14,20321
NGC4501,close-to-peak,radius_re,0.75,1.0,0.875,62614,34465,54,28095
NGC4501,close-to-peak,radius_re,1.0,1.25,1.125,80520,49189,2213,29118
NGC4501,close-to-peak,radius_re,1.25,1.5,1.375,98326,39953,9488,48885
NGC4501,close-to-peak,radius_re,1.5,1.75,1.625,116300,46799,15082,54419
NGC4501,close-to-peak,radius_re,1.75,2.0,1.875,109794,43299,32179,34316
NGC4501,close-to-peak,radius_re,2.0,2.25,2.125,70099,10412,47134,12553
NGC4501,close-to-peak,radius_re,2.25,2.5,2.375,34288,1447,29261,3580
NGC4501,close-to-peak,radius_re,2.5,2.75,2.625,11016,68,10245,703
NGC4501,close-to-peak,radius_re,2.75,3.0,2.875,732,0,732,0
NGC4501,close-to-peak,radius_re,3.0,3.25,3.125,0,0,0,0
NGC4501,close-to-peak,radius_re,3.25,3.5,3.375,0,0,0,0
NGC4501,close-to-peak,radius_re,3.5,3.75,3.625,0,0,0,0
NGC4501,close-to-peak,radius_re,3.75,4.0,3.875,0,0,0,0
NGC4501,close-to-peak,radius_re,4.0,4.25,4.125,0,0,0,0
NGC4501,close-to-peak,radius_re,4.25,4.5,4.375,0,0,0,0
NGC4501,close-to-peak,radius_re,4.5,4.75,4.625,0,0,0,0
NGC4501,close-to-peak,radius_re,4.75,5.0,4.875,0,0,0,0
NGC4501,close-to-peak,radius_re,5.0,5.25,5.125,0,0,0,0
NGC4501,close-to-peak,radius_re,5.25,5.5,5.375,0,0,0,0
NGC4501,close-to-peak,radius_re,5.5,5.75,5.625,0,0,0,0
NGC4501,close-to-peak,radius_re,5.75,6.0,5.875,0,0,0,0
NGC4501,close-to-peak,radius_re,6.0,6.25,6.125,0,0,0,0
NGC4501,close-to-peak,radius_re,6.25,6.5,6.375,0,0,0,0
NGC4501,close-to-peak,radius_re,6.5,6.75,6.625,0,0,0,0
NGC4501,close-to-peak,radius_re,6.75,7.0,6.875,0,0,0,0
NGC4501,close-to-peak,radius_re,7.0,7.25,7.125,0,0,0,0
NGC4501,close-to-peak,radius_re,7.25,7.5,7.375,0,0,0,0
NGC4501,close-to-peak,radius_re,7.5,7.75,7.625,0,0,0,0
NGC4501,close-to-peak,radius_re,7.75,8.0,7.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,5.75,6.0,5.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,6.0,6.25,6.125,3890,0,3890,0
NGC4654,close-to-peak,log_sigma_star,6.25,6.5,6.375,4999,2107,1492,1400
NGC4654,close-to-peak,log_sigma_star,6.5,6.75,6.625,14035,5625,8085,325
NGC4654,close-to-peak,log_sigma_star,6.75,7.0,6.875,50005,15248,30441,4316
NGC4654,close-to-peak,log_sigma_star,7.0,7.25,7.125,139429,37771,85552,16106
NGC4654,close-to-peak,log_sigma_star,7.25,7.5,7.375,151919,71134,47498,33287
NGC4654,close-to-peak,log_sigma_star,7.5,7.75,7.625,128915,77984,12118,38813
NGC4654,close-to-peak,log_sigma_star,7.75,8.0,7.875,80604,64379,604,15621
NGC4654,close-to-peak,log_sigma_star,8.0,8.25,8.125,47191,41549,119,5523
NGC4654,close-to-peak,log_sigma_star,8.25,8.5,8.375,26103,21164,0,4939
NGC4654,close-to-peak,log_sigma_star,8.5,8.75,8.625,9219,6413,0,2806
NGC4654,close-to-peak,log_sigma_star,8.75,9.0,8.875,2568,1560,0,1008
NGC4654,close-to-peak,log_sigma_star,9.0,9.25,9.125,316,102,0,214
NGC4654,close-to-peak,log_sigma_star,9.25,9.5,9.375,32,0,0,32
NGC4654,close-to-peak,log_sigma_star,9.5,9.75,9.625,5,0,0,5
NGC4654,close-to-peak,log_sigma_star,9.75,10.0,9.875,1,0,0,1
NGC4654,close-to-peak,log_sigma_star,10.0,10.25,10.125,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.25,10.5,10.375,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.5,10.75,10.625,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,10.75,11.0,10.875,0,0,0,0
NGC4654,close-to-peak,log_sigma_star,11.0,11.25,11.125,0,0,0,0
NGC4654,close-to-peak,radius_re,0.0,0.25,0.125,10080,6633,0,3447
NGC4654,close-to-peak,radius_re,0.25,0.5,0.375,30249,23241,0,7008
NGC4654,close-to-peak,radius_re,0.5,0.75,0.625,50421,45590,0,4831
