stage,zone,f_SF_mean,f_SF_median,f_SF_count,f_ND_mean,f_ND_median,f_ND_count,f_NSF_mean,f_NSF_median,f_NSF_count
close-to-peak,inner_0_1Re,0.4344208654072201,0.4244801307618695,5,0.09941054454935576,0.021262368321590897,5,0.4661685900434242,0.5577049947860138,5
close-to-peak,outer_1_2Re,0.2937303420997272,0.4438914116877194,5,0.4687102488100222,0.3783115970565298,5,0.23755940909025064,0.23129490869937813,5
post-peak,inner_0_1Re,0.20045987534127127,0.12607427264842702,13,0.3176378538763267,0.2237526283240569,13,0.48190227078240205,0.366288047041902,13
post-peak,outer_1_2Re,0.05847740999067949,0.01833104074022858,13,0.728547742816547,0.8725423600890599,13,0.21297484719277346,0.10270841989952026,13
pre-peak,inner_0_1Re,0.567342354032545,0.5785845200469788,8,0.07669756852186915,0.06022943724128628,8,0.35596007744558594,0.3406485011428701,8
pre-peak,outer_1_2Re,0.5070004830197494,0.5515449536411856,8,0.20031471233603204,0.07210136057641071,8,0.2926848046442186,0.25687503716747373,8
