kind,stage_or_transition,category,estimate,ci_low,ci_high,N_galaxies
stage_mean,pre-peak,SF,0.49358426498162356,0.39619971826884576,0.5958081839358427,8.0
stage_mean,pre-peak,ND,0.13738277570930188,0.05039060979296382,0.23661919507864715,8.0
stage_mean,pre-peak,NSF,0.3690329593090746,0.27509937318072497,0.48670672789841035,8.0
stage_mean,close-to-peak,SF,0.3316797344332887,0.1073355358134539,0.5560239330531236,5.0
stage_mean,close-to-peak,ND,0.3864606930004325,0.19899956201132069,0.5775258533092842,5.0
stage_mean,close-to-peak,NSF,0.2818595725662788,0.21487171687477788,0.35355830099198654,5.0
stage_mean,post-peak,SF,0.10066424637865998,0.05362214502940327,0.15171186897306702,13.0
stage_mean,post-peak,ND,0.6277267227673705,0.5722642029065806,0.6888693320807194,13.0
stage_mean,post-peak,NSF,0.2716090308539694,0.21150155032986268,0.33615204443955055,13.0
stage_difference_second_minus_first,close-to-peak minus pre-peak,SF,-0.16193889869538067,-0.4040619161766642,0.07944723504014244,
stage_difference_second_minus_first,close-to-peak minus pre-peak,ND,0.24930118153004063,0.038849321174445846,0.4718697394757778,
stage_difference_second_minus_first,close-to-peak minus pre-peak,NSF,-0.08736228283465994,-0.21939095976089248,0.03210693813849069,
stage_difference_second_minus_first,post-peak minus close-to-peak,SF,-0.23096900891251443,-0.45558027896616615,-0.005929408039408928,
stage_difference_second_minus_first,post-peak minus close-to-peak,ND,0.24170700321213676,0.03016128898341118,0.4402543534781622,
stage_difference_second_minus_first,post-peak minus close-to-peak,NSF,-0.010737994299622331,-0.10560046491716069,0.08181581810394752,
stage_difference_second_minus_first,post-peak minus pre-peak,SF,-0.3929079076078951,-0.505645549059376,-0.2842437637163611,
stage_difference_second_minus_first,post-peak minus pre-peak,ND,0.4910081847421774,0.37757102852570573,0.5962819093062303,
stage_difference_second_minus_first,post-peak minus pre-peak,NSF,-0.09810027713428227,-0.22815731546893916,0.01708812595649759,
